p,k,RMSE,MAE,MBE,R2
0.1,2,7.671324446113557,5.111971387157113,0.3622237888810784,0.3210135779225597
0.1,3,7.233684586011126,5.128512703950641,0.3690092124472553,0.3962744942829895
0.1,4,6.951954522572798,4.912688859185932,0.5214840875021656,0.4423852763102592
0.1,5,6.796434993829339,4.816687705011793,0.5590238878735124,0.4670545945421819
0.1,6,6.704830910500274,4.811946720961373,0.4711961061079053,0.4813241259477814
0.1,7,6.5970724076829805,4.805696971875866,0.5525993209483041,0.4978622301311126
0.1,8,6.5249038436197395,4.753456547890064,0.5532936586976864,0.5087883937423425
0.1,9,6.496390815883139,4.743400507827004,0.6222327850651367,0.5130720823275372
0.1,10,6.545045401186303,4.774822371524279,0.6408223303002305,0.5057510961853904
0.1,11,6.45922378555195,4.747991114713197,0.7219012501662309,0.5186277501392041
0.1,12,6.436016277300361,4.733424899639696,0.7357478426466771,0.5220806050758732
0.1,13,6.412336220433281,4.71635384028773,0.7599654002605647,0.5255909563033815
0.1,14,6.425741560456473,4.743839902818787,0.7920910483571262,0.5236053267658112
0.1,15,6.463367361888457,4.761089983144161,0.7838411516428453,0.5180099537920908
0.1,16,6.482602607168572,4.774366872434019,0.8031259076826182,0.5151368407624135
0.1,17,6.495845620907935,4.8057668853861095,0.774810451394213,0.5131538075568259
0.1,18,6.471391795320288,4.794856046174076,0.7402995763624319,0.5168124052866214
0.1,19,6.478982236884178,4.798238637080924,0.7588402987483138,0.5156782572616561
0.1,20,6.486025625124993,4.788387528212636,0.7686104285631895,0.5146246595948415
0.1,21,6.515321277186082,4.820933249363272,0.7832090622101646,0.5102301349631595
0.1,22,6.5331503557347705,4.841227368416741,0.8116187820881278,0.5075459716764403
0.1,23,6.557491084040647,4.860971766965189,0.8031244635443239,0.5038696383262019
0.1,24,6.591292043817257,4.8951055814804825,0.7915118078427972,0.4987417922268254
0.1,25,6.611019178053717,4.918711287538231,0.7890529888629334,0.4957368622657796
0.1,26,6.6190261219162,4.920932810038444,0.7687014274189204,0.494514644751952
0.1,27,6.6357885324867985,4.925316564958561,0.7650284886956616,0.4919511612844138
0.1,28,6.67117160770918,4.955321804657367,0.7652887746412675,0.4865187227706014
0.1,29,6.690816033294754,4.969170530982736,0.7699152344658864,0.4834902003870253
0.1,30,6.714196135426296,4.994571237671794,0.778715134634259,0.4798741539057145
0.1,31,6.717696874407982,5.008343112300948,0.7601642528528701,0.4793316319205698
0.1,32,6.723430128755426,5.00293935506656,0.7557620387245123,0.478442518262777
0.1,33,6.733454977211819,5.017559943744262,0.7268841113039235,0.4768860411160222
0.1,34,6.731000814286369,5.020320823815312,0.7000958559838195,0.4772672935136433
0.1,35,6.732698897467437,5.0195073691204595,0.6885109005048857,0.4770035123589429
0.1,36,6.724238015221773,5.021652442745923,0.6715448766806827,0.4783171701776235
0.1,37,6.7261324661861135,5.018937846854293,0.6374810156673559,0.4780231764916941
0.1,38,6.728245633196417,5.012916565593799,0.6572826028959214,0.4776951432633395
0.1,39,6.719464992179285,5.010973702224823,0.6563728037448017,0.4790575129287511
0.1,40,6.722051477492445,5.015659100554135,0.6643915112310459,0.478656388905092
0.2,2,7.662911776404837,5.10934544393311,0.3701328262926091,0.3225019666610803
0.2,3,7.226493912328409,5.1116614646632605,0.3709856890789578,0.3974741693209569
0.2,4,6.9526779450261325,4.911288943539364,0.5102596660900359,0.4422692191644274
0.2,5,6.797665813166049,4.808115486213487,0.5427573615942378,0.4668615465964716
0.2,6,6.705080901452687,4.807100816815474,0.4580700472259719,0.4812854473607272
0.2,7,6.602711741347364,4.8059293098697555,0.5341777727255409,0.4970033847019902
0.2,8,6.534754443723955,4.760769007435966,0.5387808296929799,0.5073041169735201
0.2,9,6.501702777468426,4.751246575856136,0.6022945437377817,0.5122754554165758
0.2,10,6.542761985603746,4.77507992064035,0.6200852887905787,0.50609590014394
0.2,11,6.458745113851894,4.739317121630246,0.6977821726001874,0.5186990933045894
0.2,12,6.432493758504357,4.718275961845701,0.7107188700158676,0.5226036054175052
0.2,13,6.405694428801407,4.696331550245206,0.7330711117008964,0.5265732173919342
0.2,14,6.414447868004004,4.716919657190508,0.7630505487536978,0.5252784494044429
0.2,15,6.446734590352379,4.73350745957021,0.7568465709741792,0.5204874596039581
0.2,16,6.461552292231678,4.743289438997041,0.7746289122126669,0.5182806246730391
0.2,17,6.473005315370898,4.774784303254111,0.7485928196023988,0.5165714277379434
0.2,18,6.44917115107276,4.766844876958794,0.7171670502222761,0.5201249249913861
0.2,19,6.4558465023572635,4.770896477529112,0.735809591222683,0.5191310011326395
0.2,20,6.461602123385097,4.761273013040338,0.7449715486591446,0.51827319465512
0.2,21,6.488380812523271,4.790340647700775,0.7599539110060733,0.514272099336857
0.2,22,6.5035607942852405,4.808758450314432,0.788790754464331,0.5119966577166404
