Station,Country,Longitude,Latitude,Average,Model_Raw,Interpolated_Bias,Model_Corrected,Residual,Active
FR09301,FR,-0.1355,46.8244,8.506,4.519874095916748,4.94497969927498,9.464853795191727,0.9588537951917288,0
FR09017,FR,-0.3234,45.6947,14.058,7.00157356262207,5.365420639219794,12.366994201841864,-1.6910057981581357,0
GB0644A,GB,-0.3396,51.421,19.139,31.074628829956055,0.98846043093037,32.06308926088642,12.924089260886422,0
FR31007,FR,-0.5158,44.9003,17.453,8.120895385742188,4.302943910493515,12.423839296235702,-5.029160703764298,0
FR23120,FR,-0.5559,47.4685,17.346,13.352150917053224,5.276816957008172,18.628967874061395,1.282967874061395,0
FR31001,FR,-0.5804,44.8612,16.986,22.168771743774418,3.8947010689082657,26.06347281268268,9.07747281268268,0
FR23078,FR,-0.8836,47.0558,10.682,6.131564617156982,4.471999542411016,10.603564159567998,-0.078435840432002,0
ES1641A,ES,-0.8936,41.6353,20.076,10.086906433105469,6.021399449531388,16.108305882636856,-3.967694117363145,0
FR23188,FR,-1.5374,47.2222,14.004,15.991188049316406,3.882308019153575,19.873496068469983,5.869496068469983,0
GB0584A,GB,-1.5465,53.8038,31.051,17.418964385986328,3.36402787317064,20.78299225915697,-10.268007740843029,0
GB0851A,GB,-1.8306,52.5117,29.77,26.64985084533691,0.3547943903140903,27.004645235651004,-2.765354764348995,0
ES1749A,ES,-2.173,42.898,18.697,2.551945686340332,6.515192873594912,9.067138559935245,-9.629861440064754,0
GB0660A,GB,-2.3341,53.4848,27.04,26.00823402404785,2.9257547017133487,28.9339887257612,1.8939887257612007,0
GB0034R,GB,-2.4721,53.4601,15.458,19.701196670532227,2.8055178379254184,22.506714508457645,7.048714508457644,0
GB0864A,GB,-2.6381,53.5491,19.394,20.34364318847656,2.6900251294857123,23.03366831796227,3.639668317962275,0
ES1806A,ES,-3.2211,40.2876,6.641,4.801785945892334,10.998575476145858,15.800361422038192,9.159361422038192,0
FR19021,FR,-3.375,47.7517,11.163,7.738002300262451,4.642006672673817,12.380008972936269,1.2170089729362683,0
FR19032,FR,-3.395,47.7425,10.72,7.738002300262451,4.641819582964292,12.379821883226745,1.6598218832267424,0
ES0007R,ES,-3.5506,37.2369,5.755,4.688396453857422,8.807275174362863,13.495671628220284,7.7406716282202845,0
ES1645A,ES,-3.575,40.4747,34.157,28.63960647583008,9.993557697649582,38.633164173479656,4.47616417347966,0
ES1942A,ES,-3.5806,40.4625,45.72,28.63960647583008,9.937325674667274,38.57693215049736,-7.143067849502643,0
ES0124A,ES,-3.6392,40.44,43.087,27.585220336914062,9.613786763957366,37.19900710087143,-5.887992899128577,0
ES1939A,ES,-3.6856,40.4097,34.382,27.585220336914062,10.14594852263709,37.731168859551154,3.349168859551156,0
ES1947A,ES,-3.6897,40.5006,38.154,16.139925003051758,9.849821406583429,25.98974640963519,-12.164253590364815,0
ES0125A,ES,-3.705,40.3469,45.749,25.35142707824707,11.086020151093788,36.43744722934086,-9.31155277065914,0
ES0126A,ES,-3.7319,40.3947,40.105,25.35142707824707,10.57768400873306,35.92911108698013,-4.175888913019868,0
ES1890A,ES,-3.8337,40.3419,34.014,21.215829849243164,10.462478510643436,31.6783083598866,-2.335691640113403,0
ES1579A,ES,-4.0628,43.2644,17.354,5.702043533325195,6.518156565342145,12.22020009866734,-5.133799901332658,0
ES1038A,ES,-4.0642,43.3464,18.736,12.726384162902832,6.934438866582653,19.660823029485485,0.9248230294854842,0
GB0687A,GB,-4.1424,50.3717,18.774,18.674924850463867,2.9619651191048035,21.63688996956867,2.86288996956867,0
ES1799A,ES,-4.7623,37.8926,22.422,5.33571195602417,7.677723056236982,13.013435012261152,-9.408564987738847,0
ES2054A,ES,-5.9583,43.5705,14.394,17.735681533813477,5.32176902630014,23.057450560113615,8.663450560113615,0
ES1997A,ES,-6.0848,40.0437,9.003,1.7520456314086914,4.678728388592452,6.430774020001143,-2.5722259799988567,0
IE0028A,IE,-6.2672,53.322,9.612,20.04783058166504,2.267701317831705,22.315531899496744,12.703531899496744,0
ES1615A,ES,-6.3424,39.4838,9.033,2.5040597915649414,3.3211477160983525,5.825207507663293,-3.207792492336706,0
IE0036A,IE,-6.3523,53.3405,16.01,17.50338363647461,2.3499717567190745,19.853355393193684,3.843355393193683,0
ES1820A,ES,-6.3974,38.428,5.186,2.427441120147705,4.313577086426591,6.741018206574296,1.555018206574296,0
ES1432A,ES,-6.5527,43.1788,11.922,3.7747976779937744,4.705143817799202,8.479941495792977,-3.442058504207024,0
ES1878A,ES,-6.5704,37.0161,4.557,3.327913522720337,2.947721998786818,6.275635521507155,1.7186355215071547,0
PT05008,PT,-8.2497,37.0917,11.246,2.9218332767486572,4.2906799290288085,7.212513205777466,-4.033486794222535,0
PT02004,PT,-8.5672,40.7586,13.521,11.025686264038086,2.6610067528297794,13.686693016867864,0.1656930168678645,0
PT04002,PT,-8.7986,38.0769,5.85,3.843074321746826,4.654271696090476,8.497346017837302,2.647346017837302,0
PT03085,PT,-9.1644,38.8297,18.114,6.7113471031188965,5.796266936881197,12.507614040000092,-5.606385959999908,0
GB0586A,GB,0.0708,51.4526,18.545,25.754777908325195,1.0148261076646994,26.769604015989895,8.224604015989893,0
FR12020,FR,0.1791,43.6287,3.539,2.440753936767578,7.013907907556911,9.45466184432449,5.9156618443244895,0
FR23182,FR,0.2214,47.9711,13.348,8.443160057067871,5.470000323454952,13.913160380522823,0.5651603805228227,0
GB0645A,GB,0.318,51.4771,25.579,28.08449935913086,0.8613008865823444,28.945800245713205,3.366800245713204,0
FR05087,FR,0.7587,49.4984,8.708,7.589571952819824,3.0289435782153116,10.618515531035136,1.910515531035136,0
FR12021,FR,1.4385,43.6236,21.019,20.427453994750977,7.181418607562845,27.608872602313824,6.589872602313825,0
ES1853A,ES,1.6177,41.2449,12.953,11.984347343444824,8.219783882545846,20.204131225990672,7.251131225990672,0
FR35005,FR,1.873,46.1736,14.982,3.72912859916687,7.877536346886667,11.606664946053538,-3.3753350539464613,0
FR34011,FR,1.9103,47.8994,15.312,7.981924533843994,3.5148852459717683,11.496809779815765,-3.815190220184237,0
DEHH074,DE,10.1028,53.5385,31.121,21.87113380432129,-0.2914562299830662,21.579677574338223,-9.541322425661775,0
IT1385A,IT,10.1775,45.8739,32.682,7.605325222015381,10.50426416107164,18.10958938308702,-14.572410616912984,0
IT1737A,IT,10.2194,45.5153,37.593,18.221635818481445,10.053586148333462,28.275221966814907,-9.317778033185096,0
DESH008,DE,10.2406,54.0932,9.422,7.436013221740723,-0.5984709587281205,6.837542263012602,-2.5844577369873987,0
IT2183A,IT,10.3327,43.5689,22.766,14.56961441040039,12.739450946356907,27.309065356757294,4.5430653567573,0
IT0908A,IT,10.3725,46.4703,14.724,1.9445298910140991,15.154892121629803,17.099422012643902,2.3754220126439023,0
IT1644A,IT,10.4536,43.8689,11.81,7.6704301834106445,12.670950769064367,20.341380952475017,8.531380952475013,0
NO0075A,NO,10.4656,61.1209,18.061,4.196653842926025,2.6183283117465415,6.814982154672567,-11.246017845327431,0
DENI011,DE,10.4736,52.2269,15.298,12.466024398803713,4.892253481619765,17.358277880423476,2.0602778804234756,0
DEBY187,DE,10.5977,48.9522,17.832,6.482027530670166,10.680804302330264,17.162831833000432,-0.6691681669995688,0
DEST039,DE,10.6183,51.7986,3.387,4.458901405334473,5.4393748119100005,9.898276217244472,6.511276217244472,0
DETH060,DE,10.6686,50.6532,16.236,6.30419397354126,6.626093884411282,12.930287857952544,-3.305712142047458,0
DEUB005,DE,10.7561,52.8009,7.14,5.759239673614502,3.4370702917929936,9.196309965407496,2.056309965407496,0
IT2073A,IT,10.7914,44.5394,21.787,8.539752006530762,10.168778673398227,18.70853067992899,-3.078469320071008,0
IT1868A,IT,10.7956,45.1606,20.254,12.326741218566896,11.301549938015244,23.628291156582137,3.374291156582135,0
IT1771A,IT,10.9063,44.6506,31.777,16.40338134765625,10.067438248997266,26.470819596653516,-5.3061804033464846,0
IT1343A,IT,10.9122,45.4625,25.642,18.11600875854492,11.338278865714791,29.454287624259713,3.8122876242597137,0
DEBY113,DE,10.9635,49.6059,17.681,11.898056030273438,9.949179117163313,21.84723514743675,4.166235147436748,0
DEBY058,DE,11.0248,49.4622,29.315,20.90285301208496,9.87268522548754,30.7755382375725,1.4605382375725,0
IT1848A,IT,11.0378,45.59,10.533,3.2481698989868164,12.239618218763182,15.487788117749998,4.954788117749999,0
DEST089,DE,11.1723,52.5931,6.28,6.371716499328613,5.673395600445492,12.045112099774103,5.765112099774105,0
IT1921A,IT,11.1779,44.9278,13.252,9.055777549743652,11.385290308562542,20.44106785830619,7.189067858306194,0
IT1917A,IT,11.2997,44.7383,22.919,11.691521644592283,11.252639091306651,22.94416073589894,0.0251607358989396,0
IT2072A,IT,11.5533,45.1039,21.861,9.967450141906738,11.545191483531385,21.51264162543812,-0.3483583745618794,0
DEBY039,DE,11.5547,48.1545,33.18,32.33348846435547,6.031362051069324,38.36485051542479,5.184850515424792,0
DETH041,DE,11.5971,50.9335,19.863,8.31982135772705,7.772854942894901,16.092676300621953,-3.7703236993780465,0
IT1065A,IT,11.7367,45.7608,22.538,10.454343795776367,13.284047249037169,23.738391044813536,1.2003910448135358,0
DEBY049,DE,11.7778,48.8532,11.354,7.452378749847412,6.873159406203099,14.325538156050513,2.971538156050512,0
DEBY020,DE,11.8975,50.3206,16.494,7.517261505126953,8.674027932468915,16.19128943759587,-0.3027105624041297,0
IT0884A,IT,11.909,42.1579,9.308,2.511303424835205,11.372457160083734,13.88376058491894,4.575760584918939,0
SE0111A,SE,11.9216,57.8634,8.309,6.485010147094727,1.9866838908766384,8.471694037971364,0.1626940379713648,0
IT1919A,IT,11.9422,44.7417,15.925,15.30354118347168,9.815922732765186,25.119463916236867,9.194463916236868,0
IT1179A,IT,11.9611,44.8397,15.128,7.431611061096191,9.099284246144624,16.530895307240815,1.402895307240815,0
DEST050,DE,11.9791,51.4962,18.215,11.611855506896973,5.476510926695587,17.08836643359256,-1.1266335664074385,0
DETH009,DE,12.0749,50.8779,17.046,8.101863861083984,8.470817512220002,16.572681373303986,-0.4733186266960132,0
DEMV021,DE,12.08,54.1713,13.252,16.612606048583984,2.1037238108924554,18.71632985947644,5.464329859476438,0
SE00291,SE,12.1894,58.6019,1.542,1.9079654216766355,1.827693872082554,3.7356592937591895,2.1936592937591897,0
DESN059,DE,12.2974,51.3179,16.155,10.718151092529297,6.272642715189817,16.990793807719115,0.8357938077191136,0
IT0448A,IT,12.3139,45.4294,35.539,48.14938735961914,10.623429745240946,58.77281710486009,23.233817104860087,0
DEBY088,DE,12.5382,48.0217,18.542,7.811781883239746,8.133879072488178,15.945660955727924,-2.596339044272078,0
IT1222A,IT,12.5917,45.6303,25.481,11.70924949645996,10.719067583908608,22.42831708036857,-3.052682919631433,0
CZ0KPRB,CZ,12.6154,50.3725,6.11,3.963714361190796,7.799101644951986,11.76281600614278,5.652816006142781,0
IT1728A,IT,12.6517,42.5522,18.152,12.341792106628418,10.080388845029276,22.422180951657698,4.270180951657693,0
IT0957A,IT,12.6585,41.9295,27.118,11.001667022705078,17.92129148504589,28.92295850775097,1.804958507750971,0
DEUB028,DE,12.725,54.4368,5.012,4.943511009216309,1.2808664900885256,6.224377499304834,1.2123774993048348,0
IT1860A,IT,12.7372,42.7397,32.802,4.751866817474365,10.416076947579592,15.167943765053955,-17.634056234946044,0
IT0869A,IT,12.913,41.464,29.307,8.49735164642334,17.940989003540178,26.43834064996352,-2.8686593500364808,0
IT1184A,IT,12.9466,41.5314,29.746,3.951748132705689,18.00918163661012,21.960929769315808,-7.785070230684191,0
AT0VOR1,AT,12.9746,46.6777,2.713,1.9168133735656736,12.278112531543604,14.194925905109278,11.48192590510928,0
AT52100,AT,13.1051,47.6668,12.296,9.21511173248291,9.42776352437598,18.64287525685889,6.34687525685889,0
AT54057,AT,13.2056,47.3514,23.115,2.778489828109741,10.251077806437165,13.029567634546904,-10.085432365453094,0
IT2170A,IT,13.2622,45.8108,11.988,13.61095142364502,10.085675489691823,23.696626913336843,11.708626913336843,0
IT2152A,IT,13.2714,45.822,11.064,13.61095142364502,10.08514190551899,23.696093329164007,12.632093329164007,0
DEBE062,DE,13.2961,52.6533,12.511,13.73306941986084,3.3766163802204012,17.10968580008124,4.598685800081242,0
IT2169A,IT,13.3019,45.8419,7.245,12.453469276428224,10.08611376186436,22.539583038292584,15.294583038292584,0
DEMV026,DE,13.3421,54.3235,5.132,4.421055316925049,2.050427877763287,6.471483194688336,1.339483194688336,0
DESN017,DE,13.3468,50.9163,19.046,6.302278518676758,7.4661782887805055,13.768456807457262,-5.277543192542737,0
DEBE027,DE,13.3681,52.3984,13.735,10.142419815063477,3.15563490549431,13.298054720557786,-0.436945279442213,0
IT1856A,IT,13.3831,42.3642,20.182,5.4429707527160645,15.952178643244572,21.395149395960637,1.213149395960638,0
DEBE068,DE,13.4188,52.5136,27.453,23.019481658935547,3.108325857348639,26.127807516284182,-1.3251924837158136,0
CZ0PPLV,CZ,13.4234,49.7686,14.48,10.024017333984377,7.499120920827259,17.523138254811634,3.043138254811634,0
AT2SP18,AT,13.4939,46.8014,23.124,6.063345909118652,9.941133598908404,16.004479508027053,-7.119520491972946,0
CZ0PKUJ,CZ,13.6185,49.722,11.269,6.952838897705078,6.748169810524519,13.701008708229596,2.432008708229598,0
AT4S125,AT,13.6322,47.7161,15.958,3.662665843963623,7.431383172211517,11.09404901617514,-4.863950983824859,0
DESN051,DE,13.675,51.1195,13.391,8.998409271240234,6.426680032939315,15.425089304179547,2.034089304179549,0
IT1889A,IT,13.688,37.9779,3.907,3.0469367504119873,9.670069498068944,12.717006248480931,8.810006248480931,0
DESN052,DE,13.7515,50.7315,7.55,5.106087684631348,7.391684200523586,12.497771885154933,4.947771885154933,0
IT1090A,IT,13.7875,45.6231,24.741,36.64666748046875,8.99964353478841,45.64631101525716,20.90531101525716,0
IT1423A,IT,14.2347,42.4564,24.436,9.129536628723145,13.995939273946732,23.125475902669876,-1.3105240973301235,0
AT4S184,AT,14.2975,48.3061,28.124,10.46548557281494,6.357544446276059,16.823030019091,-11.300969980909,0
AT4S416,AT,14.3148,48.2733,31.895,24.734161376953125,6.572106085168363,31.30626746212149,-0.58873253787851,0
