Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
AD0942A,AD,1.5391,42.5097,25.784,0.3417042,25.800306,0.016306320190430768
AT0ENK1,AT,13.6709,48.3916,7.604,5.4420033,6.5918493,-1.0121506729125977
AT0KLH1,AT,15.9563,46.7672,6.013,4.426557,5.5720625,-0.44093750762939443
AT0PIL1,AT,15.936,48.7212,5.993,3.0534644,6.427803,0.4348030395507809
AT0VOR1,AT,12.9746,46.6777,2.088,1.7449828,12.917626,10.82962638092041
AT0ZOE2,AT,14.4409,47.8383,1.995,1.9168673,6.075309,4.080308799743652
AT10003,AT,17.0703,48.1092,9.942,10.940916,10.471907,0.5299066619873045
AT2KA71,AT,14.2991,46.6266,15.109,8.46317,15.793868,0.6848680648803711
AT2SP10,AT,13.1945,46.935,8.5,1.1640304,11.2164755,2.716475486755371
AT2SP18,AT,13.4939,46.8014,13.902,4.8100867,13.46131,-0.4406896133422844
AT2WO35,AT,14.8917,46.7083,6.664,5.2936893,7.5476894,0.8836894378662112
AT30065,AT,16.1434,48.1955,11.094,4.4572206,8.761055,-2.332945007324218
AT30101,AT,14.8788,48.1199,14.158,7.0150237,10.928918,-3.2290821151733393
AT30201,AT,16.2057,47.9592,8.165,6.691677,5.606612,-2.558387794494628
AT30202,AT,15.9189,48.1051,5.45,5.3280334,3.7222714,-1.72772855758667
AT30301,AT,16.9579,48.1442,8.294,5.437444,9.40687,1.1128698883056636
AT30302,AT,16.6753,48.05,7.077,4.703233,6.551308,-0.5256918449401855
AT30401,AT,16.7294,48.3347,7.131,3.9194455,7.559836,0.4288359107971189
AT30403,AT,16.522,48.3929,8.745,4.6089497,7.191148,-1.5538521957397453
AT30407,AT,16.6363,48.2307,7.45,4.2241592,7.97396,0.5239599227905272
AT30502,AT,15.0467,48.8786,4.714,2.6802557,7.1459627,2.4319627151489254
AT30601,AT,16.3139,48.3025,9.253,7.705582,9.247665,-0.005334594726562614
AT31204,AT,15.205,48.2128,11.969,5.1046634,8.565757,-3.403243202209472
AT31401,AT,16.301,48.0856,12.837,8.203087,9.631932,-3.2050677413940427
AT31502,AT,15.86,47.6703,3.256,2.2994409,3.8414779,0.5854778709411623
AT31701,AT,15.5455,48.3704,5.734,3.966391,7.3474293,1.6134292755126953
AT31901,AT,16.0625,48.3294,12.357,5.876043,11.038019,-1.3189808197021478
AT32301,AT,15.6325,48.2116,13.787,6.533115,10.624854,-3.162145912170411
AT32401,AT,16.255,47.8142,12.142,5.457814,8.389428,-3.7525718612670893
AT32501,AT,15.6192,48.4086,11.977,4.158846,9.938947,-2.038053276062012
AT32604,AT,14.7723,48.0451,9.003,3.9050426,7.897798,-1.1052019386291505
AT32701,AT,16.4759,48.1456,13.841,12.688911,14.8691635,1.0281635131835944
AT4S108,AT,14.5747,48.5311,3.072,3.1558964,4.6969547,1.6249547271728515
AT4S125,AT,13.6322,47.7161,8.744,2.5726047,7.7634015,-0.980598491668701
AT4S184,AT,14.2975,48.3061,16.853,6.3843384,10.342105,-6.510895088195802
AT4S404,AT,14.2376,48.2253,14.952,11.426814,12.309152,-2.6428483505249023
AT4S406,AT,14.0366,48.1649,16.474,8.434121,11.034888,-5.43911173248291
AT4S409,AT,14.4424,48.0493,11.062,4.7686725,8.776272,-2.28572817993164
AT4S416,AT,14.3148,48.2733,21.374,16.541904,19.131226,-2.2427744140624988
AT51066,AT,13.0433,47.8056,14.935,10.439419,19.154781,4.219781341552734
AT52100,AT,13.1051,47.6668,7.158,6.9231467,14.011646,6.853646270751953
AT53055,AT,13.0158,47.9367,5.234,5.904692,5.460236,0.22623607254028322
AT54057,AT,13.2056,47.3514,14.858,1.9820765,9.289095,-5.568905075073243
AT55032,AT,13.808,47.1257,10.618,1.6485794,15.158141,4.540141136169433
AT56072,AT,12.7951,47.3266,13.119,2.1595018,14.753955,1.634954887390137
AT60106,AT,15.0867,47.0633,15.249,3.0625832,1.5598557,-13.689144300460816
AT60107,AT,15.1528,47.0447,11.65,3.7893214,6.652751,-4.997249031066895
AT60118,AT,14.6767,47.1781,8.676,2.6196923,7.5057325,-1.1702674636840822
AT60138,AT,15.4151,47.0944,14.281,11.958676,13.982877,-0.2981232223510748
AT60139,AT,15.4044,47.0694,18.258,11.958676,13.982877,-4.275123222351073
AT60142,AT,15.0741,47.3753,12.176,9.144306,18.830465,6.654465316772461
AT60145,AT,15.2903,47.4458,12.993,5.3046045,13.752776,0.7597761459350583
AT60170,AT,15.4331,47.0417,20.585,11.958676,13.982877,-6.602123222351075
AT60172,AT,15.4319,47.0692,18.737,11.958676,13.982877,-4.7541232223510725
AT60179,AT,15.9719,47.2829,12.847,4.5813494,10.356991,-2.490009185791015
AT60180,AT,15.2533,47.4094,11.271,5.3046045,13.752776,2.481776145935058
AT60194,AT,15.6731,47.6047,11.398,1.6462896,5.43834,-5.959659812927246
