Station,Country,Longitude,Latitude,Average,Model_Raw,Interpolated_Bias,Model_Corrected,Residual,Active
FR09301,FR,-0.1355,46.8244,8.506,4.519874095916748,1.7408535368122309,7.868438805822654,-0.637561194177346,0
FR09017,FR,-0.3234,45.6947,14.058,7.00157356262207,1.985663078392513,13.902766113947775,-0.1552338860522226,0
GB0644A,GB,-0.3396,51.421,19.139,31.074628829956055,1.2984690488935269,40.349443741552406,21.210443741552407,0
FR31007,FR,-0.5158,44.9003,17.453,8.120895385742188,0.8292331482793432,6.734115647566186,-10.718884352433816,0
FR23120,FR,-0.5559,47.4685,17.346,13.352150917053224,1.798861420013716,24.0186691588878,6.6726691588878,0
FR31001,FR,-0.5804,44.8612,16.986,22.168771743774418,0.8188687104226511,18.15331352947866,1.1673135294786583,0
FR23078,FR,-0.8836,47.0558,10.682,6.131564617156982,1.6429101320911117,10.073609635098563,-0.608390364901437,0
ES1641A,ES,-0.8936,41.6353,20.076,10.086906433105469,3.8421385736560585,38.755292295493966,18.67929229549397,0
FR23188,FR,-1.5374,47.2222,14.004,15.991188049316406,1.033921126715895,16.533627165474975,2.5296271654749756,0
GB0584A,GB,-1.5465,53.8038,31.051,17.418964385986328,1.4227283130600905,24.78245381612812,-6.268546183871877,0
GB0851A,GB,-1.8306,52.5117,29.77,26.64985084533691,0.7369996834811203,19.640931637832377,-10.129068362167626,0
ES1749A,ES,-2.173,42.898,18.697,2.551945686340332,3.5733359893640566,9.118959363902269,-9.578040636097732,0
GB0660A,GB,-2.3341,53.4848,27.04,26.00823402404785,1.1804768529099572,30.70211825045368,3.66211825045368,0
GB0034R,GB,-2.4721,53.4601,15.458,19.701196670532227,1.190052939971679,23.445467018727133,7.987467018727132,0
GB0864A,GB,-2.6381,53.5491,19.394,20.34364318847656,1.1472046806588518,23.33832268747388,3.944322687473882,0
ES1806A,ES,-3.2211,40.2876,6.641,4.801785945892334,2.0167401454103517,9.68395448674829,3.0429544867482896,0
FR19021,FR,-3.375,47.7517,11.163,7.738002300262451,1.6996820967125172,13.152143974076363,1.9891439740763648,0
FR19032,FR,-3.395,47.7425,10.72,7.738002300262451,1.6984562058057906,13.142658027420245,2.4226580274202423,0
