Country,RMSE_Raw,RMSE_Corrected,MAE_Raw,MAE_Corrected,Bias_Raw,Bias_Corrected,R2_Raw,R2_Corrected,N
LV,0.2711430053710937,0.03842659187316899,0.2711430053710937,0.03842659187316899,-0.2711430053710937,0.03842659187316899,,,1
FI,0.3934652008595614,0.09823168598700416,0.3915636533498764,0.09662388324737547,-0.3915636533498764,0.09662388324737547,1.0,1.0,2
DK,2.0354464340209955,0.21437618255615298,2.0354464340209955,0.21437618255615298,-2.0354464340209955,0.21437618255615298,,,1
EE,1.6480389164328724,0.6069922040234897,1.081525267982483,0.3975478256225587,-1.0573038244247437,0.3256156539916991,0.9327649648088486,0.9747408933539782,5
CY,1.2238336663246154,0.8431516151428222,1.2238336663246154,0.8431516151428222,-1.2238336663246154,-0.8431516151428222,,,1
HU,8.392434773737802,1.4837847315510084,8.121086591720582,1.3706510009765627,-8.121086591720582,-1.3706510009765627,0.8900777665363747,0.8992959782056484,3
SE,4.14648669075501,1.9758570136416784,2.7576899624400664,1.539837922334671,0.9037690425978765,1.423905925459332,0.5102675078872855,0.9739097070667497,9
BE,2.182299976566084,2.173934818676148,1.674016596761243,1.567817766584199,-0.32411953834007534,0.6094672728571398,0.8762458651613636,0.8636312859869741,29
DE,4.916436477139756,2.1743189674863506,3.6097571359114218,1.4569461295127868,-2.9438460036537863,-0.33727919846448035,0.44303462764327356,0.8060377761786376,220
AD,24.65521773433685,2.434202941894533,24.65521773433685,2.434202941894533,-24.65521773433685,2.434202941894533,,,1
NL,6.215298163636799,2.569900159875711,4.256983423868816,2.044234826224191,3.887461741492862,1.955479065304711,0.6170942334242122,0.9005359652373188,42
HR,17.552038078308104,2.5839432525634756,17.552038078308104,2.5839432525634756,-17.552038078308104,-2.5839432525634756,,,1
CH,5.779462438065053,2.733539309446138,4.977564537525177,2.1088504968881607,-4.386751524925232,-1.5525097025632857,0.4494574190556825,0.8228000790188943,16
LU,4.076328348171589,2.917768448607459,3.2160371082305907,2.1819934146881104,-3.2160371082305907,-2.1819934146881104,0.8916014270772454,0.9480581288416567,5
FR,6.018510020183085,3.1128048258143397,4.787435563928941,2.3635990781713936,-3.161319054771872,-0.4581278506657656,0.5069199943756499,0.713420604813644,136
LT,3.9587106935780247,3.89002517845384,2.7754104909896853,2.8949999687671664,-2.0844951047897338,-2.4386133029460906,0.5923598829029698,0.6811752816502323,4
IE,4.638254855887011,4.2321873612722305,4.28831232881546,3.565322233200073,-1.3023451123237613,-2.893396154403687,0.6923502887565641,0.6865825698367235,4
NO,4.173051845072414,4.292876549119434,2.824252871751785,2.513193948149681,-2.01481330037117,-2.3605024629831313,0.8694277597449205,0.8432542324084081,4
CZ,6.211050255792755,4.415313633468628,5.217408910380469,3.0153186071183944,-4.8214325737953185,1.3397006426917184,0.38930040877728767,0.5504223796209833,36
AT,6.702409310845456,4.678565733689434,5.5510313723802565,3.3895536399722106,-5.44336816751957,-1.6176459931731224,0.4131802003436283,0.363154167110949,80
PT,5.754688028858587,5.127366919830269,4.2237090716362,3.995446295057024,-0.5476959058897835,3.3237825410025468,0.5577788921779003,0.7438127616717783,14
PL,6.469171676088543,5.357845177318864,5.638142870872254,3.781468504259663,-5.373081080713581,2.763064126476165,0.47529226039310984,0.7113592271784188,62
IT,10.02684371446808,6.060477954113107,7.9550028428343165,4.128235703232363,-5.466352083422474,1.9365899534225464,0.16224290663726681,0.6052375230430115,194
GR,13.669681128586346,7.183301076697452,8.74070874786377,7.057574114481608,8.313786664326985,-7.057574114481608,0.7898524823055689,0.9675667704125882,3
ES,10.535782902079964,8.769404077081614,5.796043809548501,6.170772969961166,-0.7255092682492352,4.91310347942383,0.4153093393988467,0.7736451846321991,124
BG,13.697776719996332,11.598127467912777,12.190578499412538,9.726223079681395,-11.14030978679657,3.559190654754638,0.0005520784086138272,0.0003588899690318122,10
TR,19.59324597568139,19.797029908998148,13.84132112956047,11.799714041392008,-11.254516967217128,-1.8226373971303307,0.20373059489618184,0.21124762119169607,24
