Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
AD0942A,AD,1.5391,42.5097,25.016,0.36078227,27.450203,2.434202941894533
AT0ENK1,AT,13.6709,48.3916,7.55,5.1674676,6.220882,-1.3291180610656737
AT0KLH1,AT,15.9563,46.7672,5.744,4.6358805,5.804769,0.06076903915405296
AT0PIL1,AT,15.936,48.7212,5.699,3.02583,6.366328,0.6673277626037599
AT0VOR1,AT,12.9746,46.6777,2.303,1.7189863,7.73064,5.427639934539795
AT0ZOE2,AT,14.4409,47.8383,2.781,1.9448694,3.510586,0.7295860233306883
AT10003,AT,17.0703,48.1092,10.533,11.245564,10.707235,0.17423533630371146
AT2KA71,AT,14.2991,46.6266,15.803,8.610918,16.097689,0.294688674926757
AT2SP10,AT,13.1945,46.935,8.89,1.1753484,11.320922,2.430921897888183
AT2SP18,AT,13.4939,46.8014,15.017,4.530403,31.964672,16.947672088623047
AT2WO35,AT,14.8917,46.7083,6.736,5.580625,7.930182,1.1941819801330569
AT30065,AT,16.1434,48.1955,12.647,4.345743,8.592141,-4.054858848571778
AT30101,AT,14.8788,48.1199,14.648,7.058164,11.015679,-3.6323206405639645
AT30201,AT,16.2057,47.9592,8.981,6.6823745,5.5529876,-3.428012424468994
AT30202,AT,15.9189,48.1051,4.74,5.2420545,3.6051388,-1.1348612213134768
AT30301,AT,16.9579,48.1442,9.041,5.671555,9.834272,0.7932723846435543
AT30302,AT,16.6753,48.05,7.754,4.91824,6.593395,-1.1606047668457027
AT30401,AT,16.7294,48.3347,8.217,4.0347953,7.799421,-0.41757916641235404
AT30403,AT,16.522,48.3929,8.681,4.8629384,7.589103,-1.0918967781066886
AT30407,AT,16.6363,48.2307,8.285,4.5297437,8.58189,0.29689010620117173
AT30502,AT,15.0467,48.8786,3.713,2.6012561,5.0150266,1.302026569366455
AT30601,AT,16.3139,48.3025,7.905,7.7236094,9.256713,1.3517129135131833
AT31204,AT,15.205,48.2128,10.783,5.059056,8.180692,-2.6023082809448237
AT31401,AT,16.301,48.0856,12.435,8.616248,10.112645,-2.3223548507690435
AT31502,AT,15.86,47.6703,2.582,2.3304727,3.8700275,1.288027542114258
AT31701,AT,15.5455,48.3704,5.821,3.8326435,6.889915,1.0689149894714358
AT31901,AT,16.0625,48.3294,13.264,5.72641,10.797744,-2.4662562026977533
AT32301,AT,15.6325,48.2116,13.814,6.4679646,10.54916,-3.2648399963378907
AT32401,AT,16.255,47.8142,11.466,5.5493255,8.552881,-2.9131187591552727
AT32501,AT,15.6192,48.4086,13.192,4.0138826,9.637189,-3.554811088562012
AT32604,AT,14.7723,48.0451,8.833,3.8660703,7.818387,-1.0146129684448244
AT32701,AT,16.4759,48.1456,14.271,13.374374,15.634641,1.36364069366455
AT4S108,AT,14.5747,48.5311,3.108,3.1745834,4.6781964,1.5701964302062987
AT4S125,AT,13.6322,47.7161,8.763,2.5618138,5.817995,-2.945004928588867
AT4S184,AT,14.2975,48.3061,19.683,6.050733,7.412195,-12.270804794311523
AT4S404,AT,14.2376,48.2253,17.227,12.293613,13.203476,-4.023524047851563
AT4S406,AT,14.0366,48.1649,16.619,8.376962,10.957896,-5.661103767395019
AT4S409,AT,14.4424,48.0493,12.351,4.7302113,8.709945,-3.6410552749633798
AT4S416,AT,14.3148,48.2733,22.84,20.254564,23.388325,0.5483247375488283
AT51066,AT,13.0433,47.8056,15.73,10.031335,18.432325,2.7023253631591793
AT52100,AT,13.1051,47.6668,7.562,6.6661263,16.492239,8.930238998413085
AT53055,AT,13.0158,47.9367,5.009,5.729949,5.2090235,0.20002347564697232
AT54057,AT,13.2056,47.3514,14.823,2.0237358,10.462843,-4.360157058715821
AT55032,AT,13.808,47.1257,11.528,1.6644579,15.384437,3.8564366073608394
AT56072,AT,12.7951,47.3266,11.409,2.2692764,15.540305,4.131305137634277
AT60106,AT,15.0867,47.0633,15.053,3.048864,1.4974381,-13.555561926841737
AT60107,AT,15.1528,47.0447,12.495,3.885033,6.832828,-5.662171955108642
AT60118,AT,14.6767,47.1781,9.705,2.6028087,7.4757395,-2.2292605209350587
AT60138,AT,15.4151,47.0944,15.021,12.169873,14.220241,-0.8007594070434578
AT60139,AT,15.4044,47.0694,18.597,12.169873,14.220241,-4.376759407043458
AT60142,AT,15.0741,47.3753,12.756,8.914676,18.412024,5.656023544311523
AT60145,AT,15.2903,47.4458,13.786,5.273743,13.729453,-0.056546913146972244
AT60170,AT,15.4331,47.0417,21.32,12.169873,14.220241,-7.099759407043457
AT60172,AT,15.4319,47.0692,20.097,12.169873,14.220241,-5.876759407043458
AT60179,AT,15.9719,47.2829,12.036,4.5472145,10.310937,-1.7250630722045894
AT60180,AT,15.2533,47.4094,11.938,5.273743,13.729453,1.7914530868530267
AT60194,AT,15.6731,47.6047,12.617,1.6816672,2.872596,-9.744403974533082
AT60195,AT,15.2128,46.8139,9.987,3.8558118,4.771073,-5.215927135467529
AT60197,AT,15.5406,46.7783,12.355,7.402201,10.866932,-1.4880680847167973
AT60198,AT,16.079,47.0474,9.473,5.966957,10.972887,1.4998870391845696
AT72110,AT,11.3924,47.2626,22.815,8.87356,11.693494,-11.121506156921388
AT72113,AT,11.3747,47.2699,12.731,8.87356,11.693494,-1.0375061569213866
