Country,RMSE_Raw,RMSE_Corrected,MAE_Raw,MAE_Corrected,Bias_Raw,Bias_Corrected,R2_Raw,R2_Corrected,N
NO,10.00105615234375,1.4175899288222666,10.00105615234375,1.4175899288222666,10.00105615234375,1.4175899288222666,,,1
IE,10.667388338667418,1.9222867581612213,10.667380828857421,1.9220153996347804,10.667380828857421,1.9220153996347804,1.0,0.9999999999999996,2
BE,4.307036651611327,2.168445082799728,4.307036651611327,2.168445082799728,4.307036651611327,-2.168445082799728,,,1
HU,19.853595764160154,2.6949303792519146,19.853595764160154,2.6949303792519146,19.853595764160154,2.6949303792519146,,,1
EE,5.2845999678031434,2.706519448650457,5.04834745788574,2.300376149114207,5.04834745788574,-2.300376149114207,1.0,1.0,2
NL,6.916442517082784,3.0489251318606914,6.435411431884765,2.6565501352672287,6.435411431884765,0.6903320264298642,0.9332208862968868,0.9473636910639883,5
SE,11.337951038867644,4.571182341031815,11.104284240722656,3.4816222630554514,11.104284240722656,3.4816222630554514,0.050571152951910205,0.27961827598361605,3
PL,15.37941246366315,4.792073184323777,14.697424499511719,3.8289744776712635,14.697424499511719,1.943969692531772,0.746023318310011,0.7367319696641789,11
FR,12.688009745193177,5.396781353694325,10.622710570812224,3.7043464143652782,10.47936947774887,0.28825472229367455,0.36758306823277365,0.5559291084079969,64
GB,5.978446722567034,5.696244916599863,5.536130564371743,3.994832115542279,3.2738271891276036,-3.046405549436674,0.5568126077473269,0.5446518619665888,6
DE,12.417506822239773,6.473532621725743,10.865669478098551,5.300499051857074,10.610771003723144,1.2335173555569077,0.3336237030969833,0.34478224274262487,48
BG,22.59537895101279,6.651757018393359,22.048940795898442,4.302452802132358,22.048940795898442,-3.335599457158748,0.03638759119579284,0.06928857509828051,3
PT,14.559207469604916,6.790358199035119,13.08488899230957,5.408202518818555,13.08488899230957,-0.3954555303899916,0.29040699561069777,0.3935290997711964,4
HR,22.502218017578123,7.394435137227497,22.502218017578123,7.394435137227497,22.502218017578123,7.394435137227497,,,1
CZ,11.502948510435703,7.83056295682779,9.845906201530905,6.073333449850916,9.315676860136145,0.08047563225904246,0.6141328942400445,0.34215310324810105,17
ES,15.06711592227349,10.316502060948437,12.847054688282503,8.484489629119757,11.30345261246119,2.849794241515218,0.2993400462018767,0.3216837149153538,39
CH,9.001254362518862,10.824319794312885,8.332532989501953,9.63526811181629,3.520565063476564,-3.497654763523583,0.7186041686508332,0.29068903536363594,4
RO,34.48203178551447,10.985039221457571,34.24023148600261,10.547162271754114,34.24023148600261,10.547162271754114,0.8288043806023037,0.8597982590970428,3
LU,2.5844377746581984,11.101121989077399,2.5844377746581984,11.101121989077399,-2.5844377746581984,-11.101121989077399,,,1
AT,16.303433832254417,12.412696963910943,14.186774884905136,9.722506500358206,11.348617280505954,3.908338092432947,0.31753680499342873,0.30218508883398787,21
TR,23.86838837705781,12.523747960172434,21.035314036051435,8.937252288075666,21.035314036051435,4.897659179097176,0.6285489150230321,0.5144177167854062,6
IT,17.936611007573816,13.058483482862709,15.162144054706278,9.393403126088058,12.06882200387808,-1.7236059470466925,0.23790023083299264,0.2751207055840853,52
GR,26.03468078613281,23.986540599600886,26.03468078613281,23.986540599600886,-26.03468078613281,-23.986540599600886,,,1
