Station,Country,Longitude,Latitude,Average,Model_Raw,Interpolated_Bias,Model_Corrected,Residual,Active
FR09301,FR,-0.1355,46.8244,56.825,63.21282958984375,-10.76619426949869,52.44663532034506,-4.378364679654943,0
FR09017,FR,-0.3234,45.6947,49.663,63.03096008300781,-13.016888577061962,50.01407150594585,0.3510715059458533,0
GB0644A,GB,-0.3396,51.421,52.172,45.38508987426758,-5.479362921729784,39.90572695253779,-12.266273047462208,0
FR21050,FR,-0.4583,48.645,66.526,67.4671859741211,-8.28048772233365,59.18669825178745,-7.339301748212549,0
ES1826A,ES,-0.4608,39.5514,59.802,60.500770568847656,-0.8720351561371469,59.62873541271051,-0.1732645872894878,0
ES1623A,ES,-0.4669,38.7064,72.559,76.59687042236328,-5.787169476228548,70.80970094613474,-1.7492990538652575,0
ES1691A,ES,-0.6033,39.9306,61.501,74.66655731201172,-5.225205652967826,69.44135165904389,7.940351659043891,0
FR23175,FR,-0.61,47.4301,57.475,62.85812759399414,-6.828681877188248,56.029445716805895,-1.445554283194106,0
FR21040,FR,-1.0847,49.1164,56.273,66.2010498046875,-8.061924085399772,58.139125719287726,1.866125719287723,0
ES0012R,ES,-1.1008,39.0828,87.087,74.70215606689453,-5.803838209876586,68.89831785701794,-18.18868214298206,0
GB0863A,GB,-1.4069,54.8836,52.496,58.66529083251953,-9.690664562966903,48.97462626955263,-3.5213737304473725,0
FR21035,FR,-1.6267,49.6364,60.292,70.46731567382812,-7.667968298658202,62.79934737516992,2.507347375169921,0
FR23157,FR,-1.6903,47.1461,55.391,63.86220932006836,-8.74922672730499,55.11298259276337,-0.278017407236625,0
GB0851A,GB,-1.8306,52.5117,44.531,49.09762954711914,-4.244697053219106,44.852932493900035,0.3219324939000358,0
ES1882A,ES,-1.8687,38.1147,72.813,75.28739166259766,-8.762691818995304,66.52469984360235,-6.2883001563976535,0
GB0861A,GB,-2.7367,52.2217,55.518,63.06028747558594,-6.106221048398181,56.954066427187755,1.436066427187754,0
FR19033,FR,-2.764,47.6489,55.144,69.98799133300781,-14.595805483854123,55.39218584915369,0.2481858491536925,0
ES1549A,ES,-2.811,36.7697,63.166,84.70451354980469,-10.68676317772744,74.01775037207724,10.851750372077248,0
GB0031R,GB,-3.0342,52.5038,65.444,66.40827178955078,-6.300338006578059,60.10793378297272,-5.33606621702728,0
ES1598A,ES,-3.1344,43.2129,45.283,66.15664672851562,-13.428302620842285,52.728344107673344,7.445344107673343,0
ES0009R,ES,-3.1425,41.2742,68.33,75.0442123413086,-4.348492024698989,70.69572031660961,2.365720316609611,0
ES1489A,ES,-3.2317,42.8752,75.872,70.11479949951172,-12.969666241953284,57.145133257558435,-18.726866742441565,0
FR19032,FR,-3.395,47.7425,60.149,70.9852294921875,-11.140431402925714,59.844798089261786,-0.3042019107382145,0
ES1752A,ES,-3.4776,40.4495,50.467,61.39515686035156,-3.888021089271301,57.507135771080264,7.040135771080266,0
ES0007R,ES,-3.5506,37.2369,84.257,74.06829071044922,-11.515581133731768,62.55270957671745,-21.70429042328256,0
ES1611A,ES,-3.5914,40.0333,57.91,69.38375854492188,-4.203472774565415,65.18028577035646,7.270285770356466,0
ES1809A,ES,-3.6803,40.1852,58.26,63.587886810302734,-4.2459127742135125,59.34197403608922,1.0819740360892212,0
ES0125A,ES,-3.705,40.3469,45.913,56.84479904174805,-3.818067930144945,53.0267311116031,7.1137311116031015,0
ES0126A,ES,-3.7319,40.3947,46.905,56.84479904174805,-4.0947614656328994,52.75003757611515,5.845037576115146,0
ES1945A,ES,-3.7744,40.5181,57.696,68.2887191772461,-4.169750217424821,64.11896895982127,6.422968959821276,0
ES1038A,ES,-4.0642,43.3464,45.771,61.01553726196289,-15.779584921579142,45.23595234038375,-0.5350476596162537,0
ES1800A,ES,-4.7796,37.9027,64.734,77.57731628417969,-12.800591007861566,64.77672527631812,0.0427252763181229,0
ES0008R,ES,-4.8497,43.4392,71.981,75.77649688720703,-14.991096892042334,60.785399995164695,-11.1956000048353,0
ES1433A,ES,-5.596,43.2757,40.55,67.79524993896484,-15.547229342237598,52.24802059672725,11.698020596727249,0
ES1654A,ES,-5.6669,37.9943,62.299,80.08528137207031,-9.484012153914016,70.60126921815629,8.30226921815629,0
ES1974A,ES,-5.6707,43.5166,46.558,57.50936508178711,-16.664039794551396,40.84532528723571,-5.71267471276429,0
