Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
AD0942A,AD,1.5391,42.5097,45.117,77.202354,60.52985,15.412850006103518
AD0944A,AD,1.5653,42.5169,84.149,77.202354,60.52985,-23.619149993896485
AT0ENK1,AT,13.6709,48.3916,64.801,63.98108,62.136097,-2.664903045654299
AT0ILL1,AT,16.7664,47.7703,64.224,69.557335,59.59251,-4.631489776611332
AT0PIL1,AT,15.936,48.7212,67.599,66.43179,57.65241,-9.946591400146488
AT0VOR1,AT,12.9746,46.6777,70.281,64.89067,62.392025,-7.8889750061035215
AT10001,AT,16.5262,47.8401,55.577,68.52874,55.130035,-0.4469645996093732
AT10003,AT,17.0703,48.1092,59.564,65.887344,55.419716,-4.144284118652344
AT2KA41,AT,14.2893,46.6294,51.82,56.726643,53.142197,1.3221966552734372
AT2KA71,AT,14.2991,46.6266,39.715,56.726643,53.142197,13.427196655273434
AT2M121,AT,13.7035,46.5584,49.255,64.83429,61.257076,12.002076263427732
AT2SP18,AT,13.4939,46.8014,38.793,65.54389,37.187515,-1.6054847412109368
AT2VL52,AT,13.9145,46.6954,95.445,61.44568,97.33638,1.8913800048828193
AT2WO15,AT,14.8435,46.835,36.339,63.249725,31.917097,-4.421902908325194
AT2WO35,AT,14.8917,46.7083,54.009,63.65139,51.388428,-2.6205722656250003
AT30065,AT,16.1434,48.1955,48.323,73.551315,48.412834,0.08983416748046835
AT30101,AT,14.8788,48.1199,49.48,61.330124,54.090797,4.610797424316409
AT30103,AT,14.8651,48.1793,63.724,61.330124,54.090797,-9.63320257568359
AT30201,AT,16.2057,47.9592,62.523,65.852036,60.310562,-2.2124378662109407
AT30202,AT,15.9189,48.1051,70.412,71.24677,73.4632,3.051203430175775
AT30301,AT,16.9579,48.1442,60.25,67.763985,58.523857,-1.7261428833007812
AT30302,AT,16.6753,48.05,62.517,67.65134,62.99903,0.48203106689452824
AT30401,AT,16.7294,48.3347,60.422,66.88522,59.282166,-1.139834472656247
AT30403,AT,16.522,48.3929,61.927,67.255394,61.484272,-0.4427279968261715
AT30502,AT,15.0467,48.8786,62.747,67.56033,58.336544,-4.4104559631347655
AT30601,AT,16.3139,48.3025,64.817,66.42967,58.9186,-5.898401824951165
AT30603,AT,16.4311,48.0857,57.908,64.541245,56.36205,-1.5459508972167981
AT30701,AT,15.9419,48.5283,54.804,65.444336,57.09856,2.294560333251951
AT30801,AT,15.4984,48.7242,66.741,68.14003,66.82828,0.08727758789062534
AT31102,AT,15.3209,47.8614,71.509,72.202644,70.25375,-1.2552463378906253
AT31204,AT,15.205,48.2128,49.62,67.49992,48.78631,-0.8336917114257787
AT31301,AT,16.5788,48.5783,60.914,68.886116,59.819927,-1.0940727844238296
AT31401,AT,16.301,48.0856,59.889,63.919773,58.30027,-1.5887299194335966
AT31502,AT,15.86,47.6703,76.38,73.46906,67.92475,-8.455248718261714
AT31701,AT,15.5455,48.3704,59.511,68.51661,58.909348,-0.6016524658203153
AT31901,AT,16.0625,48.3294,52.39,64.51664,48.423977,-3.966023101806641
AT32101,AT,16.2931,47.6075,77.221,71.025246,76.15269,-1.0683129272460974
AT32301,AT,15.6325,48.2116,53.115,62.123905,49.855724,-3.259275665283205
AT32401,AT,16.255,47.8142,59.051,65.54205,55.591988,-3.4590123901367207
AT32501,AT,15.6192,48.4086,53.691,65.66513,50.536057,-3.154943481445315
AT32604,AT,14.7723,48.0451,56.184,65.080124,52.633427,-3.550573333740232
AT32701,AT,16.4759,48.1456,57.841,62.121338,59.519077,1.6780773010253895
AT4S108,AT,14.5747,48.5311,76.73,69.45916,74.593544,-2.1364559936523477
AT4S125,AT,13.6322,47.7161,53.589,66.81703,60.187634,6.598633514404298
AT4S156,AT,13.0392,48.2575,46.617,63.15512,44.213367,-2.403632537841794
AT4S184,AT,14.2975,48.3061,48.226,67.46229,43.637794,-4.588205505371093
AT4S404,AT,14.2376,48.2253,47.943,58.781864,46.620712,-1.3222877197265603
AT4S406,AT,14.0366,48.1649,48.586,59.84924,49.503693,0.9176926269531265
AT4S409,AT,14.4424,48.0493,49.609,66.036545,44.04771,-5.56128958129883
AT4S416,AT,14.3148,48.2733,45.102,53.493454,40.172855,-4.929144622802731
AT51066,AT,13.0433,47.8056,56.097,58.400913,43.091583,-13.005416748046876
AT52055,AT,13.2328,47.6503,78.324,65.99697,79.9304,1.6063970336914082
AT52100,AT,13.1051,47.6668,68.289,63.692497,63.37098,-4.91802069091797
AT53055,AT,13.0158,47.9367,75.11,62.90781,73.02366,-2.086341247558593
AT54057,AT,13.2056,47.3514,39.326,61.433422,36.428085,-2.897914672851563
AT55032,AT,13.808,47.1257,46.241,65.57258,43.411137,-2.829863372802734
AT56072,AT,12.7951,47.3266,47.718,60.79549,51.93167,4.2136711425781215
AT60018,AT,15.4375,47.0758,53.172,57.886536,54.199017,1.0270165710449248
AT60036,AT,15.4937,47.067,58.574,57.886536,54.199017,-4.374983428955076
AT60107,AT,15.1528,47.0447,38.351,65.209885,41.221584,2.8705843200683603
AT60118,AT,14.6767,47.1781,45.425,64.902725,45.21776,-0.20724182128905966
AT60138,AT,15.4151,47.0944,44.884,57.886536,54.199017,9.315016571044922
AT60143,AT,15.0889,47.3823,40.656,57.82639,37.772667,-2.883333068847655
AT60150,AT,15.3608,47.4056,84.438,60.753185,83.27584,-1.1621592407226586
AT60151,AT,15.4958,46.8714,59.694,55.43452,59.949154,0.25515390014648176
AT60157,AT,13.7967,47.6306,69.676,69.40747,62.236324,-7.439675689697268
AT60170,AT,15.4331,47.0417,39.792,57.886536,54.199017,14.40701657104492
AT60179,AT,15.9719,47.2829,43.634,65.01813,45.56792,1.9339206848144528
AT60185,AT,15.9563,46.7672,70.991,62.704575,70.00277,-0.9882305297851559
AT60190,AT,15.3678,46.6519,69.642,67.1017,71.86603,2.224027832031254
AT60194,AT,15.6731,47.6047,44.042,73.61103,68.39483,24.352828796386717
AT60195,AT,15.2128,46.8139,42.415,69.76771,46.563126,4.148125610351563
AT60196,AT,14.3307,47.0403,85.234,63.017323,90.12288,4.888879028320318
AT60198,AT,16.079,47.0474,44.43,61.54152,55.118332,10.688331909179688
AT72113,AT,11.3747,47.2699,53.42,58.46284,59.18015,5.760149078369139
AT72123,AT,11.376,47.3056,88.831,72.4856,64.28008,-24.550917297363284
AT72530,AT,12.0666,47.4886,39.309,62.280624,52.243015,12.934015289306643
AT72538,AT,11.91,47.4587,48.78,60.87431,47.06378,-1.7162182617187511
AT72705,AT,10.6823,47.4698,56.42,71.400795,62.10111,5.681108551025389
AT72710,AT,10.7441,47.4476,52.078,67.60688,51.59781,-0.48019116210937796
AT72912,AT,12.766,46.8191,45.073,66.10213,42.853268,-2.219732330322266
AT80503,AT,9.9267,47.5292,78.196,70.47276,86.34623,8.150229553222658
AT80706,AT,9.6537,47.4102,53.198,62.041782,51.423866,-1.7741337280273441
AT82708,AT,9.8229,47.1565,50.706,64.969894,47.31329,-3.3927103576660187
AT900ZA,AT,16.3571,48.249,60.274,66.249245,60.47887,0.20487039184570222
AT90LOB,AT,16.5256,48.1621,54.635,66.795425,55.99362,1.358621826171877
AT9JAEG,AT,16.2972,48.2702,69.597,72.077,72.63773,3.040733459472662
BETB011,BE,4.2887,50.8578,54.206,57.81421,52.027893,-2.178106933593753
BETN012,BE,3.3625,51.2546,57.329,58.58338,54.4095,-2.919499877929688
BETN027,BE,5.6067,51.1337,58.003,60.681377,53.05797,-4.945031860351563
BETN035,BE,4.8376,50.9776,58.443,59.67476,52.436134,-6.006865661621092
BETN046,BE,5.6189,50.8823,55.284,59.73558,54.42988,-0.8541217651367177
BETN060,BE,3.4576,50.6167,51.145,55.88975,42.88686,-8.258140106201175
BETN066,BE,6.0023,50.6289,57.179,68.3773,54.75076,-2.4282408752441427
BETN070,BE,3.9397,50.4652,44.709,58.15543,38.596584,-6.112415679931644
BETN073,BE,4.9884,50.5027,56.432,61.47183,49.659515,-6.772484619140627
BETN085,BE,6.0017,50.3032,54.156,67.474625,52.030323,-2.1256769714355457
BETN093,BE,5.2352,50.2745,57.319,65.11262,53.166336,-4.15266394042969
BETN100,BE,4.5948,50.0957,60.96,66.662506,58.506424,-2.4535760498046884
BETN113,BE,5.593,50.027,66.529,67.40304,60.818855,-5.710144714355465
BETN132,BE,5.6304,49.7193,57.177,67.811935,54.007576,-3.1694240112304684
BETR012,BE,4.3586,50.7966,55.064,61.214657,52.919434,-2.14456640625
BETR221,BE,5.6278,50.6584,50.349,61.146954,47.140163,-3.2088365783691373
BETR222,BE,5.5702,50.6134,51.374,59.40044,48.292164,-3.081836151123049
BETR502,BE,4.4587,50.429,45.887,58.87187,40.869633,-5.017367279052735
BETR811,BE,4.4914,51.2521,53.453,48.92507,64.11827,10.665270874023435
BG0013A,BG,27.5872,43.223,44.394,74.22777,40.43922,-3.9547795715332015
