Country,RMSE_Raw,RMSE_Corrected,MAE_Raw,MAE_Corrected,Bias_Raw,Bias_Corrected,R2_Raw,R2_Corrected,N
NO,10.00105615234375,1.1076407282107041,10.00105615234375,1.1076407282107041,10.00105615234375,1.1076407282107041,,,1
IE,10.667388338667418,1.4587623203586593,10.667380828857421,1.4587603393351465,10.667380828857421,1.4587603393351465,1.0,1.0,2
EE,5.2845999678031434,1.760418211359274,5.04834745788574,1.3703530654300486,5.04834745788574,-1.3703530654300486,1.0,1.0,2
BE,4.307036651611327,1.8863085040566503,4.307036651611327,1.8863085040566503,4.307036651611327,-1.8863085040566503,,,1
HU,19.853595764160154,2.5938336838816696,19.853595764160154,2.5938336838816696,19.853595764160154,2.5938336838816696,,,1
NL,6.916442517082784,2.800237812160929,6.435411431884765,2.4564160368004364,6.435411431884765,1.0346722210759025,0.9332208862968868,0.9506441374028356,5
SE,11.337951038867644,4.574336243070149,11.104284240722656,3.534152243701309,11.104284240722656,3.534152243701309,0.050571152951910205,0.25923459082995004,3
BG,22.59537895101279,4.894737929426153,22.048940795898442,3.5745386618617894,22.048940795898442,-1.862541386264141,0.03638759119579284,0.11565027332532529,3
FR,12.688009745193177,5.166650263981598,10.622710570812224,3.5603085908155268,10.47936947774887,0.13501520231568942,0.36758306823277365,0.5824124897678986,64
PL,15.37941246366315,5.184333605307231,14.697424499511719,4.119331971880045,14.697424499511719,2.017963762896834,0.746023318310011,0.6483227572998214,11
GB,5.978446722567034,5.615475081344521,5.536130564371743,3.972850498295204,3.2738271891276036,-3.3572562816607316,0.5568126077473269,0.5419608529309343,6
DE,12.417506822239773,6.477846715170387,10.865669478098551,5.327289960191823,10.610771003723144,1.0013383165636054,0.3336237030969833,0.3255032259599977,48
PT,14.559207469604916,6.545314686095648,13.08488899230957,5.171454986342029,13.08488899230957,-0.26445949666977064,0.29040699561069777,0.4134480652036256,4
HR,22.502218017578123,7.60719177850153,22.502218017578123,7.60719177850153,22.502218017578123,7.60719177850153,,,1
CZ,11.502948510435703,8.043852517776726,9.845906201530905,6.2842716269430525,9.315676860136145,-0.0993562899445559,0.6141328942400445,0.31248049597208,17
ES,15.06711592227349,10.303968294757635,12.847054688282503,8.486332462615147,11.30345261246119,2.941405230743347,0.2993400462018767,0.31645748280868885,39
CH,9.001254362518862,10.981414322509984,8.332532989501953,9.573091732232248,3.520565063476564,-3.58216963586621,0.7186041686508332,0.28310658415377365,4
RO,34.48203178551447,11.073472263062708,34.24023148600261,10.584284930856262,34.24023148600261,10.584284930856262,0.8288043806023037,0.9863261931310786,3
LU,2.5844377746581984,11.626507137589051,2.5844377746581984,11.626507137589051,-2.5844377746581984,-11.626507137589051,,,1
TR,23.86838837705781,12.238284771219185,21.035314036051435,9.56101766219709,21.035314036051435,3.6339962318304266,0.6285489150230321,0.5346473334792876,6
AT,16.303433832254417,12.575369528748997,14.186774884905136,9.902526586719633,11.348617280505954,3.602684986963803,0.31753680499342873,0.27034418811722444,21
IT,17.936611007573816,13.239174318488063,15.162144054706278,9.339297284640068,12.06882200387808,-1.723769942716579,0.23790023083299264,0.2544777512772924,52
GR,26.03468078613281,24.90633405984825,26.03468078613281,24.90633405984825,-26.03468078613281,-24.90633405984825,,,1
