p,k,RMSE,MAE,MBE,R2
0.5,2,10.764851617867462,7.469141710639614,0.624500302675241,0.1146597306474801
0.5,3,10.822286931062658,7.383501607845677,1.1096761459004023,0.1051871525383437
0.5,4,10.322266671275598,7.129934990178592,0.9319318240649292,0.1859627622502799
0.5,5,9.980665509170027,7.0140008966189065,0.8423848428666938,0.2389501153969673
0.5,6,9.931603814499514,6.968666964356401,0.9421947093649644,0.2464138712648494
0.5,7,9.83440115774708,6.958187772219546,0.9358180090614808,0.2610926917097015
0.5,8,9.673891378988303,6.909825325187834,0.9555072509381414,0.2850156497270826
0.5,9,9.599650307548202,6.804737207226359,0.845051119216688,0.2959476562214157
0.5,10,9.542801316467829,6.74770961285391,0.8031016773114916,0.3042617408779573
0.5,11,9.494692216174997,6.727223580747458,0.8008609696500169,0.3112590510658874
0.5,12,9.43462960144792,6.672312942529166,0.7511813167674288,0.3199453228105037
0.5,13,9.368202947957167,6.648722467952624,0.7308842013687271,0.3294877702090256
0.5,14,9.296847421235851,6.634671211738793,0.6604655064695295,0.3396631564918682
0.5,15,9.274194317067568,6.601574127093486,0.638415981524474,0.3428772470625285
0.5,16,9.271020029208312,6.575905696539594,0.6239199891647799,0.3433269982181309
0.5,17,9.253122383370918,6.5974527176675695,0.612959311054728,0.3458599571221862
0.5,18,9.241637653278683,6.578081582579389,0.606617836356769,0.3474827519562803
0.5,19,9.24358751386637,6.572466480152449,0.6119973742654636,0.3472073782761176
0.5,20,9.200618155037152,6.552902860844115,0.6466652350356563,0.3532623616123574
0.5,21,9.219940945778816,6.562434404558954,0.636307775300995,0.3505430011369955
0.5,22,9.25344694234862,6.587003195240327,0.6352703006253222,0.3458140675860504
0.5,23,9.25984295463599,6.587297045193603,0.6271854473503898,0.3449094042000075
0.5,24,9.258958826633698,6.576354553224849,0.6305992079723213,0.3450344940730081
0.5,25,9.25778158434016,6.588884048692553,0.6602076311655405,0.3452010363572003
0.5,26,9.259410906363842,6.607375779868814,0.6742215950642632,0.3449705335644126
0.5,27,9.273657897368537,6.6135500701499765,0.6429195953839858,0.3429532608666794
0.5,28,9.29546810914264,6.637593090237678,0.6529482757085839,0.3398590816237091
0.5,29,9.2757283347813,6.614024872973834,0.6524526755662104,0.3426598435281708
0.5,30,9.292815866255308,6.629818303128854,0.6466270836623985,0.3402357392061708
0.5,31,9.295322987965124,6.642174360373477,0.6220755753745179,0.3398796937496303
0.5,32,9.300543332530784,6.643575467380739,0.596945737975574,0.3391380254660968
