Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
AD0942A,AD,1.5391,42.5097,38.975,81.18445,63.651978,24.6769775390625
AD0944A,AD,1.5653,42.5169,78.146,81.18445,63.651978,-14.4940224609375
AT0ENK1,AT,13.6709,48.3916,60.726,64.83281,62.96327,2.237268280029298
AT0ILL1,AT,16.7664,47.7703,63.799,73.04632,62.581665,-1.2173349609374995
AT0PIL1,AT,15.936,48.7212,65.125,68.71619,59.317486,-5.807514190673828
AT0VOR1,AT,12.9746,46.6777,73.01,67.59231,64.98963,-8.020368347167974
AT10001,AT,16.5262,47.8401,57.378,72.45099,58.285408,0.9074080200195311
AT10003,AT,17.0703,48.1092,57.331,68.27569,57.42862,0.09761938476562193
AT2KA41,AT,14.2893,46.6294,52.765,60.933456,57.94184,5.176841125488281
AT2KA71,AT,14.2991,46.6266,42.542,60.933456,57.94184,15.39984112548828
AT2M121,AT,13.7035,46.5584,52.231,67.07823,64.00781,11.776812499999998
AT2SP18,AT,13.4939,46.8014,40.264,69.50978,39.43764,-0.8263588562011748
AT2VL52,AT,13.9145,46.6954,91.921,65.01814,102.99554,11.074536804199212
AT2WO15,AT,14.8435,46.835,38.531,65.42286,33.013702,-5.517297607421874
AT2WO35,AT,14.8917,46.7083,55.516,66.37713,53.58903,-1.9269687805175764
AT30065,AT,16.1434,48.1955,44.579,74.8315,49.25547,4.676470275878906
AT30101,AT,14.8788,48.1199,46.504,61.818623,54.521637,8.017636962890627
AT30103,AT,14.8651,48.1793,61.212,61.818623,54.521637,-6.690363037109378
AT30201,AT,16.2057,47.9592,59.61,66.58628,60.98302,1.3730207824707037
AT30202,AT,15.9189,48.1051,66.485,71.54611,73.77186,7.286858215332032
AT30301,AT,16.9579,48.1442,58.723,70.29368,60.70861,1.9856105346679698
AT30302,AT,16.6753,48.05,61.969,69.95851,65.147545,3.1785448608398426
AT30401,AT,16.7294,48.3347,59.036,68.68743,60.842545,1.8065445556640611
AT30403,AT,16.522,48.3929,59.638,69.817924,63.826916,4.188915740966799
AT30502,AT,15.0467,48.8786,58.952,68.07355,58.018932,-0.9330676574707013
AT30601,AT,16.3139,48.3025,62.354,68.442375,60.808144,-1.545856384277343
AT30603,AT,16.4311,48.0857,54.869,66.53083,58.0995,3.230498748779297
