Station,Country,Longitude,Latitude,Average,Model_Raw,Interpolated_Bias,Model_Corrected,Residual,Active
AL0203A,AL,20.7802,40.6259,30.339,11.983813285827637,9.720111125050936,21.70392441087857,-8.635075589121428,0
AT30407,AT,16.6363,48.2307,14.79,13.95303440093994,0.0120134240856612,13.965047825025602,-0.8249521749743973,0
AT32301,AT,15.6325,48.2116,13.978,15.132887840270996,-0.5594976535743045,14.573390186696692,0.595390186696692,0
AT4S156,AT,13.0392,48.2575,12.524,14.702994346618652,-1.0535900353332892,13.649404311285362,1.1254043112853631,0
AT90LOB,AT,16.5256,48.1621,12.5505,14.072188377380373,0.1133641838852413,14.185552561265611,1.6350525612656135,0
AT9STAD,AT,16.4583,48.2264,14.567,15.238104820251465,-0.1654684186580271,15.072636401593437,0.5056364015934367,0
BEGBB15,BE,3.2341,51.2135,12.945,14.627620697021484,-2.933045887690966,11.694574809330518,-1.250425190669482,0
BEGR701,BE,3.7293,51.0583,14.641,18.177001953125,-3.962871761067234,14.214130192057766,-0.4268698079422339,0
BEGR801,BE,4.4318,51.2097,14.813,28.54018783569336,-8.268216077891061,20.271971757802294,5.458971757802297,0
BETN016,BE,5.164,51.2337,13.721,15.676344871520996,-4.73929049630912,10.937054375211876,-2.7839456247881245,0
BETN045,BE,5.3684,50.9397,13.467,14.49669075012207,-4.260262651413012,10.23642809870906,-3.2305719012909417,0
BETN054,BE,5.1032,50.7117,13.1,13.99192714691162,-3.018824200275014,10.973102946636608,-2.1268970533633915,0
BETN073,BE,4.9884,50.5027,9.973,13.318685531616213,-2.52502937065063,10.79365616096558,0.82065616096558,0
BETN132,BE,5.6304,49.7193,8.689,10.9877290725708,-2.3165019829182407,8.671227089652561,-0.0177729103474391,0
BG0050A,BG,23.2968,42.6806,24.568,9.64975643157959,12.932972291629008,22.582728723208596,-1.985271276791405,0
CZ0CCBD,CZ,14.4657,48.9844,14.266,13.748040199279783,-1.7674907886517186,11.980549410628068,-2.2854505893719335,0
CZ0MBEL,CZ,17.8042,49.5871,22.228,15.067160606384276,7.483734317198219,22.550894923582497,0.3228949235824956,0
CZ0PPLL,CZ,13.3682,49.7701,16.654,16.10613441467285,-1.0727200161383306,15.03341439853452,-1.6205856014654785,0
CZ0TCEL,CZ,18.3484,49.5592,17.009,12.63356590270996,8.5263003972721,21.159866299982063,4.150866299982063,0
CZ0TOZR,CZ,18.2472,49.796,25.381,18.273700714111328,7.833871033173238,26.107571747284567,0.7265717472845665,0
CZ0TTRO,CZ,18.6778,49.6681,24.696,19.353382110595703,8.963647711662826,28.31702982225853,3.621029822258528,0
CZ0UTPM,CZ,13.8512,50.6453,19.437,16.808753967285156,-0.5470834642553037,16.26167050302985,-3.17532949697015,0
DEBB007,DE,13.5268,51.4627,13.736,12.90321445465088,0.4837068083654143,13.386921263016294,-0.3490787369837065,0
DEBW023,DE,7.6333,47.5882,12.32,16.307453155517578,-1.996577405592861,14.310875749924715,1.990875749924717,0
DEBW052,DE,9.1693,47.6644,12.423,15.397909164428713,-2.83537344312246,12.56253572130625,0.1395357213062507,0
DEBW081,DE,8.3556,49.0286,11.994,15.429451942443848,-0.5491317657331316,14.880320176710716,2.8863201767107167,0
DEBW084,DE,7.8321,48.0015,10.578,11.127062797546388,-2.1308355011272124,8.996227296419175,-1.581772703580825,0
DEBY002,DE,12.1887,50.0582,13.371,12.077985763549805,-0.0318653089611441,12.04612045458866,-1.3248795454113402,0
DEBY007,DE,10.8884,48.3766,13.377,14.047818183898926,-1.5014475518466337,12.546370632052293,-0.8306293679477079,0
DEBY031,DE,10.3066,47.7251,10.871,10.168654441833496,-1.0961590907692185,9.072495351064278,-1.7985046489357224,0
DEBY072,DE,12.5489,49.4385,8.871,11.773706436157228,-0.0253487628264374,11.748357673330789,2.8773576733307884,0
DEBY075,DE,12.1594,49.679,13.428,12.70807933807373,0.2033453049878048,12.911424643061537,-0.5165753569384659,0
DEBY109,DE,11.2202,47.9688,8.743,10.42621612548828,-1.140092183340201,9.28612394214808,0.54312394214808,0
DEHE013,DE,9.4834,51.3142,11.949,13.3972806930542,-2.443770048869367,10.953510644184831,-0.9954893558151684,0
DEMV019,DE,12.1755,53.7818,11.5655,10.827311515808104,0.5564911378324816,11.383802653640586,-0.1816973463594138,0
DENI043,DE,7.3175,52.4986,12.163,15.187944412231444,-3.7641816317829377,11.423762780448508,-0.7392372195514927,0
DENI054,DE,9.7061,52.3629,11.397,14.451536178588867,-2.871470045455247,11.58006613313362,0.1830661331336198,0
DENI060,DE,11.1671,52.957,10.485,12.428098678588867,-0.6264249009191241,11.801673777669745,1.3166737776697437,0
DENW010,DE,7.6938,51.5475,13.009,16.85165023803711,-2.9076388976493983,13.94401134038771,0.9350113403877104,0
DENW024,DE,6.981,51.4965,15.076,17.944299697875977,-3.136994069130331,14.807305628745643,-0.2686943712543552,0
DENW068,DE,8.148,51.5707,12.443,14.740134239196776,-3.0365607622180866,11.70357347697869,-0.7394265230213097,0
DENW247,DE,6.9656,51.4068,13.12,17.944299697875977,-3.2292027184870333,14.715096979388942,1.5950969793889411,0
DERP053,DE,8.423,49.3511,14.385,14.639555931091309,-0.8463324746312189,13.79322345646009,-0.5917765435399094,0
DESH023,DE,10.6959,53.8355,11.2145,13.528461456298828,-2.140744125801636,11.387717330497193,0.1732173304971915,0
DESL012,DE,6.9876,49.2335,12.245,13.318170547485352,-0.8832771753132427,12.434893372172109,0.1898933721721096,0
DEST098,DE,11.0434,51.6624,8.684,10.10689640045166,-0.5529331057168455,9.553963294734814,0.8699632947348146,0
DETH036,DE,12.2052,50.6559,11.984,11.459741592407228,-0.1758751530050587,11.283866439402168,-0.7001335605978323,0
EE0009R,EE,25.9306,59.4944,5.198,3.766735792160034,0.7100235472363732,4.476759339396407,-0.721240660603593,0
ES1818A,ES,-4.0208,39.8681,11.966,8.154101371765137,0.8693387240698338,9.023440095834973,-2.9425599041650283,0
FR01020,FR,6.1569,49.3583,14.096,15.351469039916992,-1.44943839351647,13.902030646400522,-0.1939693535994777,0
FR04002,FR,2.2944,48.9303,13.264,14.667461395263672,-0.5555924117312293,14.111868983532442,0.8478689835324431,0
FR04024,FR,2.4447,48.9908,13.844,14.75670337677002,-0.8492171135103621,13.907486263259658,0.0634862632596586,0
FR04034,FR,2.3758,48.7759,13.648,14.363381385803224,-0.4560882967105071,13.907293089092716,0.259293089092715,0
FR04066,FR,2.2369,48.3642,9.648,11.095455169677734,0.2659664102528332,11.361421579930568,1.713421579930568,0
FR04143,FR,2.351,48.859,14.266,19.032629013061523,-0.5657973922139461,18.46683162084758,4.200831620847579,0
FR05074,FR,0.1007,49.4896,10.412,12.17328643798828,-0.4304165998374578,11.742869838150824,1.3308698381508233,0
FR07022,FR,3.6007,46.6527,8.448,10.067325592041016,1.6068496831755412,11.674175275216555,3.2261752752165567,0
FR11025,FR,3.0903,50.6281,15.476,16.039949417114258,-1.747645037870977,14.29230437924328,-1.1836956207567209,0
FR15043,FR,5.7356,45.1619,15.824,14.736519813537598,1.6232498382804783,16.359769651818077,0.535769651818077,0
FR16066,FR,7.3091,47.7374,14.391,17.474428176879883,-1.4683309412941656,16.006097235585717,1.6150972355857167,0
FR18042,FR,3.284,49.8513,13.069,13.91640567779541,-1.337867191644977,12.578538486150434,-0.4904615138495671,0
FR20046,FR,4.9247,45.7789,14.268,14.416789054870604,1.3358803802540826,15.752669435124687,1.4846694351246867,0
FR24018,FR,5.7861,43.8358,12.479,6.619696140289307,2.5009866972854824,9.120682837574789,-3.3583171624252106,0
FR31002,FR,-0.5894,44.8005,14.468,10.410201072692873,2.1335411297172624,12.543742202410131,-1.924257797589867,0
FR31007,FR,-0.5158,44.9003,13.385,9.18849754333496,2.1135976802702436,11.302095223605203,-2.0829047763947948,0
FR32007,FR,4.4175,46.8024,11.154,10.257284164428713,1.6112854352476316,11.868569599676343,0.7145695996763433,0
FR41017,FR,9.4346,42.6713,9.187,8.443951606750488,1.3068466876204217,9.75079829437091,0.5637982943709101,0
GB0036R,GB,-1.3253,51.5711,7.725999999999999,9.750285148620604,-1.0541101873151744,8.69617496130543,0.9701749613054318,0
GB0608A,GB,0.1848,51.466,10.492,10.11443042755127,-0.6000459368067474,9.514384490744522,-0.9776155092554788,0
GB0613A,GB,-2.2379,53.4815,10.478,10.19266414642334,0.3542042077030407,10.54686835412638,0.0688683541263817,0
GB0620A,GB,-0.2135,51.521,9.791,10.761094093322754,-0.5486366657752173,10.212457427547536,0.4214574275475371,0
GB0658A,GB,-2.1751,53.0282,11.691,9.965994834899902,-0.1843791749923974,9.781615659907503,-1.9093843400924957,0
GB1026A,GB,-1.1273,52.6198,12.019,10.45423984527588,-0.6516875482076833,9.802552297068196,-2.216447702931804,0
GB1028A,GB,-4.2436,55.8658,6.547,6.666398525238037,0.1726670532948298,6.839065578532867,0.2920655785328669,0
HR0021A,HR,15.9784,45.8344,20.817,19.30090713500977,1.968752726126512,21.269659861136276,0.4526598611362757,0
IE0106A,IE,-6.2279,53.3682,7.802,9.47849941253662,0.0936338564966462,9.572133269033268,1.770133269033268,0
IE0110A,IE,-8.4571,51.8819,6.83,7.642866611480713,0.5342730617836174,8.17713967326433,1.34713967326433,0
IE0145A,IE,-9.0127,53.7039,5.736,5.514778137207031,0.9703674062112272,6.485145543418258,0.7491455434182583,0
IT1037A,IT,11.1262,46.0629,16.063,16.461952209472656,2.788719655485827,19.250671864958484,3.187671864958485,0
IT1065A,IT,11.7367,45.7608,20.443,23.51313018798828,-0.8225962249601129,22.69053396302817,2.247533963028168,0
IT1110A,IT,10.4017,43.7389,16.963,16.647790908813477,1.6862249073951652,18.33401581620864,1.37101581620864,0
IT1187A,IT,10.5739,43.8408,25.088,15.569205284118652,1.8617164779367208,17.430921762055373,-7.657078237944628,0
IT1529A,IT,7.5382,44.3818,16.387,15.597822189331056,0.7044732002186017,16.302295389549656,-0.0847046104503448,0
IT1536A,IT,9.8439,44.116,14.186,12.373849868774414,1.2900028744431773,13.663852743217593,-0.522147256782409,0
IT1590A,IT,12.2386,45.6725,26.501,30.86178398132324,-1.5541551744457467,29.307628806877496,2.8066288068774945,0
IT1594A,IT,12.2169,46.1414,14.54,13.166751861572266,1.1929464792537685,14.359698340826034,-0.1803016591739652,0
IT1650A,IT,9.0242,45.6269,24.721,30.09728240966797,-6.011623944260021,24.08565846540795,-0.635341534592051,0
IT1692A,IT,9.2358,45.4783,31.902,37.313716888427734,-7.625016280207497,29.68870060822024,-2.213299391779763,0
IT1737A,IT,10.2194,45.5153,29.066,27.14689826965332,-4.077842091549227,23.06905617810409,-5.996943821895908,0
IT1771A,IT,10.9063,44.6506,22.16,25.660381317138672,-3.256983240594867,22.403398076543805,0.243398076543805,0
IT1812A,IT,9.4969,45.9131,12.047,11.337055206298828,-4.476873510635951,6.860181695662877,-5.186818304337123,0
IT1878A,IT,8.4024,45.3189,26.542,27.874332427978516,-0.9410139364430716,26.933318491535445,0.3913184915354435,0
IT1883A,IT,8.4854,44.3154,12.594,15.632692337036133,-1.1931159897288963,14.439576347307236,1.8455763473072369,0
IT1911A,IT,10.2889,44.6575,14.707,14.527323722839355,-1.4495171789664678,13.077806543872889,-1.6291934561271135,0
IT1915A,IT,12.6275,43.9328,15.268,14.119153022766112,1.3860310354355656,15.505184058201678,0.2371840582016773,0
IT1975A,IT,9.6692,45.0383,24.078,24.60216903686523,-5.829005706042295,18.77316333082294,-5.30483666917706,0
IT1993A,IT,9.1364,39.2606,11.98,11.123011589050291,-2.9971622432064704,8.125849345843822,-3.8541506541561783,0
IT2062A,IT,9.6147,45.6439,28.849,30.72942352294922,-5.8597230276519685,24.869700495297252,-3.979299504702748,0
IT2073A,IT,10.7914,44.5394,18.096,17.576648712158203,-0.148755856140167,17.427892856018037,-0.6681071439819632,0
IT2104A,IT,8.1598,45.6642,13.47,11.518482208251951,2.0121735244252985,13.530655732677252,0.0606557326772509,0
LT00002,LT,25.2108,54.6861,10.772,8.914521217346191,4.013158575424782,12.927679792770974,2.1556797927709734,0
MT00007,MT,14.1971,36.0671,9.187,11.910544395446776,1.7023493072490312,13.612893702695809,4.425893702695809,0
NL00703,NL,4.7286,52.3986,12.013,14.721296310424805,-2.6693967464253943,12.05189956399941,0.0388995639994096,0
NO0015A,NO,5.3278,60.3922,6.763,4.2588090896606445,0.8103780372396421,5.069187126900287,-1.6938128730997128,0
NO0073A,NO,10.7657,59.9231,8.825,10.187495231628418,0.5104990014135514,10.69799423304197,1.87299423304197,0
NO0075A,NO,10.4656,61.1209,6.645,2.704026222229004,0.6477889987947851,3.351815221023789,-3.2931847789762108,0
PL0079A,PL,23.1494,52.0292,26.346,13.398722648620604,10.04482889057651,23.443551539197117,-2.9024484608028835,0
PL0096A,PL,19.5298,51.758,22.134,15.416115760803224,11.108667086736428,26.524782847539647,4.390782847539647,0
PL0134A,PL,20.8375,52.1917,30.466,16.418365478515625,9.200325509885358,25.618690988400985,-4.847309011599016,0
PL0190A,PL,16.1805,51.2045,22.906,14.77924346923828,4.544541134247633,19.323784603485915,-3.5822153965140835,0
PL0238A,PL,18.6557,50.2795,30.624,18.72447204589844,8.65367283658929,27.378144882487728,-3.2458551175122707,0
PL0398A,PL,19.6877,52.5563,21.413,20.759672164916992,3.450182741883677,24.20985490680067,2.796854906800668,0
PL0496A,PL,23.1817,53.1293,21.248,11.513874053955078,6.840906553834332,18.354780607789408,-2.893219392210593,0
PL0498A,PL,19.107,50.8019,26.002,16.020395278930664,8.856835915068702,24.877231193999364,-1.124768806000635,0
PL0505A,PL,15.4317,51.3176,14.538,10.976188659667969,3.1357284129506535,14.111917072618622,-0.426082927381378,0
PL0517A,PL,18.2076,50.9722,20.31,14.533409118652344,9.164841482566192,23.698250601218536,3.3882506012185374,0
PL0530A,PL,18.8296,50.4447,29.098,17.4486141204834,8.510059722642131,25.95867384312553,-3.1393261568744677,0
SE0015A,SE,12.8297,55.8697,7.793,8.6758394241333,0.5077839201162224,9.183623344249524,1.3906233442495235,0
SE34399,SE,17.9577,59.4102,4.889,4.769516468048096,-0.4866384152519584,4.282878052796137,-0.6061219472038628,0
TR0013A,TR,32.9268,39.9254,19.404,17.996206283569336,-2.1424253734383507,15.853780910130986,-3.550219089869014,0
TR160613,TR,28.8715,40.2234,29.625,20.130149841308594,7.131811783711272,27.261961625019865,-2.3630383749801354,0
TR410741,TR,29.7946,40.726,20.833,22.444257736206055,5.1069189080695345,27.55117664427559,6.718176644275591,0
TR590341,TR,27.9802,41.3184,24.447,11.328939437866213,10.621392079405735,21.950331517271948,-2.496668482728051,0
XK0001A,XK,21.1371,42.6488,28.487,16.49186897277832,11.454928805525444,27.94679777830376,-0.5402022216962372,0
