Country,RMSE_Raw,RMSE_Corrected,MAE_Raw,MAE_Corrected,Bias_Raw,Bias_Corrected,R2_Raw,R2_Corrected,N
SE,0.5871420649741074,0.6730817851969372,0.5661917128562928,0.5743222966194153,0.3868946404457092,0.46347087335586545,0.9780117588877283,0.9691103666375711,4
CH,3.321454551660997,1.0501372604004409,3.1131621093749997,1.0329913406372073,3.1131621093749997,-1.0329913406372073,0.9999999999999996,1.0,2
DE,2.199415463602692,1.188832276068017,1.7866286835781364,0.9691993941373604,1.487608453085256,0.6217362030384151,0.2700446105370077,0.6538238857304021,86
IE,1.1149509091486969,1.5251772407793258,0.7507031383514402,1.1841878118515012,0.7344118366241457,1.1429111967086794,0.6709789988676492,0.5767207054772016,4
BE,3.4925680478927634,1.6486083601354105,3.326808112589518,1.3939495592753093,3.326808112589518,0.7062420623779299,0.8532850622613877,0.6826486495552935,30
NL,4.2775221531714624,1.7886862208723842,4.2324541528875175,1.5541268352161757,4.2324541528875175,1.4172386086203836,0.0038058844942011824,0.0004451381967202895,11
EE,1.0700673829187999,1.8241297351971424,0.9912365697224934,1.4657605113983154,0.6945171941121421,1.4366618582407635,0.13703498030023842,0.5855446506377985,6
FI,0.8217104606628416,1.847216957092285,0.8217104606628416,1.847216957092285,0.8217104606628416,1.847216957092285,,,1
NO,1.6632080645956753,2.0037546057489,1.5196307387351988,1.5949840631484984,0.7241106238365174,1.3164965715408325,0.7425186392664613,0.8753183316864035,4
FR,1.2783675347488774,2.0731024547257975,1.0723762988684313,1.7199475078222883,0.4763613521647904,1.4724766138184742,0.5262810100073655,0.4178021846812192,53
LU,4.029717353231568,2.0943500407119164,3.934670842488606,2.0319131978352862,3.934670842488606,2.0319131978352862,0.015779086249534266,0.13097911093333378,3
AT,3.763191997356436,2.361016066626703,2.56345588104248,1.779254472808838,1.9195231661987306,1.6733339533996583,0.14629347929836514,0.5842728950135037,25
CY,2.600325549416184,2.401754524089831,2.4034079494476317,1.894906192779541,-2.4034079494476317,1.7712863502502443,0.8383744151362759,0.8426657969229676,4
ES,2.8407321270774246,2.9345467356179835,2.2060645972165194,2.085765696959062,0.8263066525892778,1.0411317625912753,0.17417343763352827,0.07778493195863634,22
IT,4.7822255880984645,3.153648018626187,3.7985044943411155,2.529857710053649,2.2127200093812576,1.9200502000639705,0.6081343410601662,0.7114236975906644,79
RO,3.7359249267578107,3.411303314208986,3.7359249267578107,3.411303314208986,-3.7359249267578107,3.411303314208986,,,1
SI,4.607032531738282,3.608764404296876,4.607032531738282,3.608764404296876,4.607032531738282,3.608764404296876,,,1
PT,7.547298507609301,4.026319328582469,5.62670634396871,3.7788000462849936,5.62670634396871,3.016794822692871,0.08905024805501802,0.3532042892427874,6
HR,2.704204027835572,4.0409035401975775,2.5921046142578117,4.004346885681153,-0.770527801513671,4.004346885681153,1.0,1.0,2
CZ,1.9010112343867567,6.071994668093607,1.5234407327825374,4.143554613980379,1.2783470715609466,3.635623467878861,0.8066731681446698,0.886049488071193,22
TR,5.406040263835397,8.413022289766529,3.849132038116455,8.244869791984557,3.770740613937378,6.744397149085998,0.6719893835040776,0.504454949855064,8
PL,2.8135773229307066,9.209538155220834,2.158172838846842,7.4679961568795,-0.4041321038638845,7.421611758363013,0.3564003392552269,0.5466287921891921,51
BG,4.998207433424597,17.620781315811186,3.933322742462158,15.30479197692871,-3.013852725982666,14.220556129455566,0.001816863245039851,0.03866738822884632,4
