Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
AT0ILL1,AT,16.7664,47.7703,9.513,11.399092,11.895234,2.3822341079711915
AT0ZOE2,AT,14.4409,47.8383,3.505,6.360153,5.813034,2.3080340576171876
AT10001,AT,16.5262,47.8401,11.266,11.086537,12.079246,0.8132455673217773
AT2KA71,AT,14.2991,46.6266,10.983,12.234899,13.1205635,2.1375635070800776
AT2WO15,AT,14.8435,46.835,10.68,9.038131,16.04055,5.360550231933594
AT30104,AT,14.5195,48.1923,10.547,12.506939,12.430982,1.8839816360473627
AT30407,AT,16.6363,48.2307,10.071,11.74638,11.9943495,1.9233494796752932
AT31413,AT,16.329,48.0843,9.556,11.994379,11.272758,1.7167575302124032
AT31902,AT,15.9071,48.3451,9.892,11.963767,12.204434,2.3124343948364263
AT32301,AT,15.6325,48.2116,9.995,12.865247,12.409306,2.4143055725097664
AT32701,AT,16.4759,48.1456,9.657,12.553105,13.085432,3.4284320526123047
AT4S156,AT,13.0392,48.2575,8.989,12.1873045,11.310523,2.321523033142089
AT4S184,AT,14.2975,48.3061,11.151,12.272667,10.857616,-0.2933835754394529
AT4S404,AT,14.2376,48.2253,10.822,15.603517,13.729644,2.9076438217163094
AT4S407,AT,13.6676,48.0009,9.389,11.319749,9.994975,0.6059750900268561
AT4S409,AT,14.4424,48.0493,8.393,11.036096,9.941862,1.5488621063232415
AT4S416,AT,14.3148,48.2733,10.813,17.905653,13.094253,2.2812525863647455
AT60107,AT,15.1528,47.0447,9.68,8.909695,11.504254,1.8242543411254886
AT60197,AT,15.5406,46.7783,13.522,14.939279,17.273594,3.7515939025878904
AT80706,AT,9.6537,47.4102,7.943,11.605497,8.825569,0.8825691528320316
AT80807,AT,9.7432,47.4095,7.433,8.319107,8.171296,0.7382961196899416
AT90AKC,AT,16.3498,48.2191,9.972,13.223681,12.156179,2.1841794281005864
AT90LOB,AT,16.5256,48.1621,9.238,11.5832205,11.658733,2.4207333679199223
AT9KEND,AT,16.3098,48.205,10.112,13.223681,12.156179,2.044179428100586
AT9STAD,AT,16.4583,48.2264,10.026,12.518757,12.295542,2.2695417633056643
BELRL01,BE,3.1211,50.9534,9.435,13.854439,11.653904,2.21890396118164
BETB011,BE,4.2887,50.8578,7.391,12.766211,10.080792,2.6897924270629883
BETH201,BE,5.5475,50.625,6.033,12.526547,9.07853,3.0455303115844723
BETM204,BE,5.6112,50.6119,5.483,11.95903,9.121255,3.638254920959473
BETN012,BE,3.3625,51.2546,8.981,13.190579,10.231059,1.2500590744018556
BETN016,BE,5.164,51.2337,8.984,12.896655,9.021719,0.03771897888183595
BETN029,BE,2.5823,51.0163,8.195,11.799239,9.619103,1.4241034317016599
BETN035,BE,4.8376,50.9776,8.443,12.141428,10.88306,2.440060455322266
BETN052,BE,3.3225,50.8149,9.084,13.639224,12.4949875,3.410987487792969
BETN054,BE,5.1032,50.7117,7.327,11.767767,9.201441,1.8744408111572266
BETN060,BE,3.4576,50.6167,7.948,12.747431,9.270493,1.322492553710937
BETN067,BE,5.9928,50.6123,4.921,10.571931,7.6530595,2.7320594825744626
BETN070,BE,3.9397,50.4652,8.151,12.219391,10.530755,2.3797550430297854
BETN073,BE,4.9884,50.5027,6.637,11.08636,8.991117,2.354116523742676
BETN085,BE,6.0017,50.3032,3.368,8.108547,5.1990447,1.831044704437256
BETN093,BE,5.2352,50.2745,4.929,9.040423,7.128865,2.199864765167236
BETN100,BE,4.5948,50.0957,4.151,8.670545,6.3337326,2.182732604980469
BETN113,BE,5.593,50.027,2.607,8.195008,5.6404533,3.0334533386230467
BETN121,BE,5.2024,49.8771,3.648,7.9629235,5.794816,2.1468160171508788
BETN132,BE,5.6304,49.7193,4.025,8.012372,6.3026443,2.2776442527770993
BETR020,BE,4.4367,50.9414,9.479,12.6524105,10.78255,1.3035498580932625
BETR221,BE,5.6278,50.6584,6.585,11.95903,9.121255,2.5362549209594727
BETR222,BE,5.5702,50.6134,6.296,12.526547,9.07853,2.7825303115844724
BETR501,BE,4.4522,50.4093,6.309,12.432677,10.74459,4.435589805603027
BETR502,BE,4.4587,50.429,6.552,12.432677,10.74459,4.192589805603028
BETR510,BE,4.5211,50.4164,6.418,11.793784,10.133706,3.7157060928344725
BETR511,BE,4.4247,50.3776,6.177,10.926927,9.881527,3.7045269470214848
BETR701,BE,3.7293,51.0583,8.947,13.950281,11.042724,2.0957236557006844
BETR710,BE,3.7753,51.0613,8.972,13.950281,11.042724,2.070723655700684
BETR801,BE,4.4318,51.2097,9.253,14.61964,7.2506933,-2.0023066787719728
BG0039A,BG,25.6315,42.4342,17.023,10.04101,16.608034,-0.4149658660888669
BG0045A,BG,25.9641,43.8514,14.65,13.325494,29.70892,15.058919525146484
BG0050A,BG,23.2968,42.6806,12.652,12.156327,28.455194,15.803194473266602
BG0051A,BG,24.7652,42.1429,16.667,14.513367,41.780373,25.113372619628905
CH0005A,CH,8.6134,47.4029,7.18,10.697127,7.671393,0.4913929176330569
CH0010A,CH,8.5304,47.3776,8.011,13.095135,8.23231,0.22131029510498124
CY0002R,CY,33.0578,35.038,9.29,10.718628,11.361409,2.0714091873168954
CY0005A,CY,33.0178,34.6817,15.999,12.802588,19.33305,3.3340497741699213
CY0006A,CY,33.3317,35.1269,13.48,12.282246,18.824074,5.344073791503906
CY0008A,CY,32.4386,34.7794,13.944,12.114641,16.731808,2.7878077087402335
CZ0ARIE,CZ,14.4427,50.0815,12.791,13.298715,11.473549,-1.3174511108398441
