p,k,RMSE,MAE,MBE,R2
0.5,2,3.1397606444061577,2.15991562309035,-0.2377957807893013,0.7610263476421916
0.5,3,3.0385641960499203,2.1020282847840472,-0.1229430571227047,0.7761826390729362
0.5,4,2.7515521313196607,2.01130547774547,-0.033547631976803,0.8164677329755702
0.5,5,2.6152007602564247,1.9250090255321064,-0.1341353444808198,0.8342066885678954
0.5,6,2.77787620858716,1.997591945557519,-0.0090525320103981,0.8129392312900527
0.5,7,2.90247134365259,2.0143797413947406,0.0997584935803127,0.7957825638810835
0.5,8,2.929719905000182,2.051199311373103,0.0834699717853405,0.7919301559103467
0.5,9,2.9589658176410394,2.053571113694834,0.111047021291189,0.7877553095893389
0.5,10,2.9515230575046045,2.030003688287395,0.1301779882775776,0.7888216954187757
0.5,11,2.9589874333677906,2.046580031710285,0.2494737829873312,0.7877522086140167
0.5,12,2.991609165928591,2.0699458217255104,0.2700241413844191,0.7830465060722687
0.5,13,2.995619664500439,2.1048300370121975,0.2717247180574091,0.7824644281041558
0.5,14,2.9835958690342235,2.0808195334709603,0.2377118364237842,0.78420720874474
0.5,15,3.0055361682821045,2.104045508725956,0.2219773480830397,0.7810218131679028
0.5,16,2.9971289012420645,2.09481560348629,0.1971415190548203,0.782245177719364
0.5,17,3.055651076754094,2.123566640002051,0.1937528923749019,0.7736583591285106
0.5,18,3.074594552876685,2.121274356544195,0.2057698295003109,0.7708432548324828
0.5,19,3.0941107220257114,2.1271038941698865,0.1914531014485565,0.7679248500183606
0.5,20,3.080129047948368,2.1266156318587717,0.1671116056696916,0.7700175145005392
0.5,21,3.0768222300327466,2.1229938784333866,0.1664782450915533,0.7705110665242918
0.5,22,3.078734053481843,2.128957731449442,0.1607518024659643,0.7702257860624155
0.5,23,3.122339748981853,2.159151054202839,0.17822026672329,0.7636708711864229
0.5,24,3.126195066495367,2.1535373462616674,0.1672220576521491,0.7630868948040441
0.5,25,3.123318107035071,2.1298208072075417,0.1655601280960492,0.7635227446214076
0.5,26,3.12828597987302,2.1394940122082606,0.1602950080656808,0.7627698765569549
0.5,27,3.1326258738343875,2.1347949958168715,0.1633513746739013,0.7621111978169612
0.5,28,3.1595939344040245,2.1576647431851907,0.1663675399933529,0.757997706937064
0.5,29,3.152661218557077,2.1508138925181575,0.1443993835787434,0.7590585347163228
0.5,30,3.168481853681521,2.161709266960461,0.1236545657525785,0.7566342899154088
0.5,31,3.166462185828828,2.1644789263958626,0.1219225427303011,0.7569444455489447
0.5,32,3.2118553229595816,2.1988328411611255,0.1329990264253226,0.7499258006450107
0.5,33,3.234517439071249,2.2114160678409083,0.1409486530479413,0.7463844183343127
0.5,34,3.265045169139806,2.228140122662265,0.1403968739015373,0.7415745234794615
0.5,35,3.289318417442467,2.2392814732839628,0.1476877743298223,0.737717827848337
0.5,36,3.290854766802713,2.2383972165099606,0.1341077164227073,0.7374727611802518
0.5,37,3.2970262621758737,2.2447585597342665,0.1222200132161461,0.7364871784305114
0.5,38,3.2978773780106554,2.242765834781879,0.1046519951916084,0.7363511110377696
0.5,39,3.285104523532421,2.2371363340130443,0.097803635663333,0.7383894084993397
0.5,40,3.2939512165600364,2.2332778214908027,0.0866493611825591,0.7369784915129833
0.6,2,3.1442668049775815,2.1627150446158376,-0.236811817175061,0.7603399090769694
0.6,3,3.0330966747967603,2.094996397460774,-0.1280020827437107,0.7769873778421033
0.6,4,2.7473071548945933,2.00532423986891,-0.0470084619852721,0.8170335875450634
0.6,5,2.609148444693748,1.922344274135646,-0.1447939910700117,0.8349731859929131
0.6,6,2.750790316478861,1.984744210044836,-0.0296958482824497,0.8165693470774666
0.6,7,2.84762008089715,1.9984774611893033,0.0671694231849751,0.8034282826298146
0.6,8,2.854189301623121,2.013478567962831,0.0503571752905014,0.8025202875672035
0.6,9,2.886428756023761,2.0137151345048245,0.0786865156710686,0.798033832996286
0.6,10,2.8674249094339044,1.989545183491388,0.0974159668861227,0.8006845127852535
0.6,11,2.8624867198694175,2.0082184879223077,0.2109366780046596,0.8013704314482875
0.6,12,2.8917328156507778,2.0254225491141513,0.2310952314549981,0.7972908908132998
0.6,13,2.9000252369053707,2.062213887342304,0.2339632928634015,0.7961266342214073
0.6,14,2.8939141587697184,2.0407977779006075,0.202238820419746,0.79698495321499
0.6,15,2.9140566979215654,2.061553286476969,0.1879100417038067,0.7941490227162236
0.6,16,2.905785648718773,2.054591371776006,0.165934775680931,0.7953159096123827
0.6,17,2.9575069973750874,2.081955722783373,0.1629991844885146,0.7879645384545216
0.6,18,2.979929846319022,2.081317793743757,0.1745520418248979,0.7847371835038908
0.6,19,3.0008656963890745,2.0866712923702098,0.1618829014454094,0.7817018494539822
0.6,20,2.9929723339882996,2.0865220613921713,0.1404526559638327,0.7828487453108227
0.6,21,2.9914729896524777,2.084589753893934,0.1405376662241902,0.7830662568116491
0.6,22,2.996496563144711,2.0894809804154333,0.1356440489692235,0.7823370524094746
0.6,23,3.038319320141967,2.119535295809885,0.1516567373899062,0.7762187122097779
0.6,24,3.0425278249570815,2.1118928673478856,0.1415436730650713,0.7755983449732969
0.6,25,3.0405890750417144,2.0878114267123866,0.1408489519400863,0.7758842388755749
0.6,26,3.045592711902274,2.0910540915806415,0.1356413573640097,0.7751460157572247
0.6,27,3.05015314265799,2.088029502484843,0.1384285140292426,0.7744721247574275
0.6,28,3.0765232529596975,2.1108020117090183,0.1414128048341615,0.7705556635734304
0.6,29,3.072700937552148,2.105889974805644,0.1216814929670073,0.7711254390936263
0.6,30,3.0894433509256007,2.117007735275307,0.1028596117320519,0.7686244784239209
0.6,31,3.089668232768324,2.1203335968400836,0.1017919031067893,0.7685907933606501
0.6,32,3.132932501462688,2.1515644380390277,0.112356419536525,0.7620646254830364
0.6,33,3.1526230832225988,2.163616730719324,0.1196833455809582,0.7590643636507746
0.6,34,3.1812145966914023,2.1808803289870813,0.1191460371860354,0.754674399107353
0.6,35,3.2030930325515117,2.1918794252483376,0.125565407031063,0.7512883986398522
0.6,36,3.206149090118837,2.1927424864500606,0.1133422321399245,0.7508135828559781
0.6,37,3.213768066724597,2.199356446176977,0.1023878726717287,0.749627860516414
0.6,38,3.2159584848360967,2.1984010822499274,0.0863879100112055,0.7492864503389416
0.6,39,3.206048533572458,2.1943695356763935,0.0806136841410806,0.7508292134033193
0.6,40,3.216054692366094,2.1919270106747484,0.0703553179818521,0.749271449590484
0.7,2,3.1490237116051594,2.165203802926978,-0.2355636880788186,0.7596142053631892
0.7,3,3.029944344312005,2.08976570987905,-0.1322626392611168,0.7774506958566162
0.7,4,2.746960928831355,2.000701662054829,-0.0596117575476338,0.8170797008811096
0.7,5,2.608890509794553,1.921586383137838,-0.1549945767198932,0.8350058127840188
0.7,6,2.730887625852974,1.9727930299100855,-0.0497577879201387,0.8192140825907293
0.7,7,2.802961820209772,1.983999285658965,0.0354994535430161,0.8095454718829448
0.7,8,2.7904922005800894,1.9780756128425443,0.0174878289537116,0.8112362640094067
0.7,9,2.8233573667800203,1.979825067863339,0.0460207068766008,0.8067637311301258
0.7,10,2.792710714064124,1.952488606296972,0.0639492870235652,0.8109360005921205
0.7,11,2.7754147823526556,1.9717306767909044,0.1717010749839777,0.8132705867982387
0.7,12,2.8000909263850433,1.9846758239922129,0.1911258737963943,0.8099354127744678
0.7,13,2.810647915692617,2.0220094498485883,0.1947063661573403,0.8084995363186076
0.7,14,2.808782520889898,2.0031926861991955,0.1648708905619803,0.8087536452910966
0.7,15,2.8259967166609044,2.019120179452586,0.1516132765598321,0.8064022774094525
0.7,16,2.8167157560303773,2.0136764652994343,0.1320933627064787,0.807671792272497
0.7,17,2.8608945936426142,2.036940204545096,0.1293595151374771,0.8015913270740572
