Station,Country,Longitude,Latitude,Average,Model_Raw,Interpolated_Bias,Model_Corrected,Residual,Active
AL0203A,AL,20.7802,40.6259,30.339,11.983813285827637,1.776722244669404,21.291907640894703,-9.047092359105296,0
AT30407,AT,16.6363,48.2307,14.79,13.95303440093994,1.0070699917204675,14.051682238629988,-0.7383177613700109,0
AT32301,AT,15.6325,48.2116,13.978,15.132887840270996,0.9776242737588888,14.794278484719651,0.8162784847196516,0
AT4S156,AT,13.0392,48.2575,12.524,14.702994346618652,0.9400291816928804,13.82124374408698,1.2972437440869804,0
AT90LOB,AT,16.5256,48.1621,12.5505,14.072188377380373,1.0093309078542485,14.203494670437331,1.652994670437332,0
AT9STAD,AT,16.4583,48.2264,14.567,15.238104820251465,0.9842617478945216,14.998283684980642,0.4312836849806416,0
BEGBB15,BE,3.2341,51.2135,12.945,14.627620697021484,0.8074139090305343,11.810544406798066,-1.134455593201935,0
BEGR701,BE,3.7293,51.0583,14.641,18.177001953125,0.7914678784577013,14.386513172561337,-0.2544868274386633,0
BEGR801,BE,4.4318,51.2097,14.813,28.54018783569336,0.6318164874667156,18.032161229988063,3.219161229988062,0
BETN016,BE,5.164,51.2337,13.721,15.676344871520996,0.7425456560833003,11.640401787611635,-2.080598212388363,0
BETN045,BE,5.3684,50.9397,13.467,14.49669075012207,0.7582370244973924,10.991927659431427,-2.4750723405685715,0
BETN054,BE,5.1032,50.7117,13.1,13.99192714691162,0.7835621271280702,10.96354419785506,-2.1364558021449405,0
BETN073,BE,4.9884,50.5027,9.973,13.318685531616213,0.8092607141341686,10.778288964644153,0.8052889646441521,0
BETN132,BE,5.6304,49.7193,8.689,10.9877290725708,0.799391947641616,8.78350214348078,0.0945021434807795,0
BG0050A,BG,23.2968,42.6806,24.568,9.64975643157959,2.0480398281347076,19.763085503674052,-4.804914496325949,0
CZ0CCBD,CZ,14.4657,48.9844,14.266,13.748040199279783,0.8884507769186463,12.214456996158903,-2.051543003841095,0
CZ0MBEL,CZ,17.8042,49.5871,22.228,15.067160606384276,1.4167854402179372,21.34693377255051,-0.8810662274494909,0
CZ0PPLL,CZ,13.3682,49.7701,16.654,16.10613441467285,0.9475115079722076,15.260747706849743,-1.3932522931502564,0
CZ0TCEL,CZ,18.3484,49.5592,17.009,12.63356590270996,1.4450011710787865,18.25551752431692,1.2465175243169178,0
CZ0TOZR,CZ,18.2472,49.796,25.381,18.273700714111328,1.4060194149046723,25.693177986197902,0.3121779861979057,0
CZ0TTRO,CZ,18.6778,49.6681,24.696,19.353382110595703,1.505477246012648,29.13607640089007,4.440076400890067,0
