Station,Country,Longitude,Latitude,Average,Model_Raw,Model_Corrected,Residual
AT0ILL1,AT,16.7664,47.7703,10.242,11.293113,11.784642,1.5426422195434562
AT0ZOE2,AT,14.4409,47.8383,4.01,6.3024426,5.760288,1.7502877616882326
AT10001,AT,16.5262,47.8401,12.474,11.21976,12.224398,-0.2496023406982424
AT2KA71,AT,14.2991,46.6266,11.527,11.569917,12.407445,0.8804449539184578
AT2WO15,AT,14.8435,46.835,13.479,8.7855425,15.592265,2.1132651290893563
AT30104,AT,14.5195,48.1923,10.628,12.82656,12.748661,2.1206610412597655
AT30407,AT,16.6363,48.2307,9.712,11.8299885,11.914663,2.202663314819336
AT31413,AT,16.329,48.0843,10.055,12.371816,11.627486,1.5724862289428714
AT31902,AT,15.9071,48.3451,11.191,12.157647,12.402214,1.211214050292968
AT32301,AT,15.6325,48.2116,10.418,12.778056,12.513253,2.0952532119750984
AT32701,AT,16.4759,48.1456,10.042,13.099522,13.65502,3.613019760131836
AT4S156,AT,13.0392,48.2575,9.992,12.462882,11.711058,1.7190576629638663
AT4S184,AT,14.2975,48.3061,11.003,12.499484,11.058281,0.055280944824218636
AT4S404,AT,14.2376,48.2253,12.016,18.709513,16.462631,4.4466312255859375
AT4S407,AT,13.6676,48.0009,10.352,11.654084,10.290182,-0.061817886352539375
AT4S409,AT,14.4424,48.0493,9.174,11.019602,9.927004,0.7530038604736333
AT4S416,AT,14.3148,48.2733,11.435,25.63782,18.74872,7.313720169067382
AT60107,AT,15.1528,47.0447,10.927,8.825539,11.395593,0.46859268951416055
AT60197,AT,15.5406,46.7783,13.77,14.197178,16.415537,2.6455368804931645
AT80706,AT,9.6537,47.4102,10.331,12.253581,9.318413,-1.0125872192382808
AT80807,AT,9.7432,47.4095,8.842,9.147567,8.985036,0.143035896301269
AT90AKC,AT,16.3498,48.2191,10.555,13.248804,12.179274,1.62427360534668
AT90LOB,AT,16.5256,48.1621,10.26,11.716362,11.791878,1.5318777465820315
AT9KEND,AT,16.3098,48.205,9.391,13.248804,12.179274,2.7882736053466797
AT9STAD,AT,16.4583,48.2264,11.686,12.644497,12.315063,0.6290634765625001
BELRL01,BE,3.1211,50.9534,13.368,14.860517,12.500184,-0.8678159408569339
BETB011,BE,4.2887,50.8578,11.588,13.019128,10.280508,-1.3074919586181633
BETH201,BE,5.5475,50.625,7.54,12.371068,8.965848,1.4258479690551757
BETM204,BE,5.6112,50.6119,7.246,11.496558,8.768524,1.5225241699218746
BETN012,BE,3.3625,51.2546,11.456,14.216307,11.0266485,-0.4293514785766597
BETN016,BE,5.164,51.2337,11.071,12.882692,9.550184,-1.52081575012207
BETN029,BE,2.5823,51.0163,10.62,12.482803,10.176367,-0.4436331939697258
BETN035,BE,4.8376,50.9776,10.611,12.191849,10.928255,0.31725508117675716
BETN052,BE,3.3225,50.8149,12.177,14.427962,13.217556,1.0405559997558598
BETN054,BE,5.1032,50.7117,9.341,11.430212,8.925106,-0.41589395141601493
BETN060,BE,3.4576,50.6167,8.233,13.311135,9.680444,1.4474437637329096
BETN067,BE,5.9928,50.6123,5.428,10.348097,7.491026,2.0630259246826173
BETN070,BE,3.9397,50.4652,9.371,12.640076,10.893304,1.5223038711547847
BETN073,BE,4.9884,50.5027,7.413,10.910683,8.803195,1.390194999694824
BETN085,BE,6.0017,50.3032,4.411,8.495734,5.447302,1.0363018646240238
BETN093,BE,5.2352,50.2745,5.635,9.275775,7.314452,1.6794521713256838
